"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2025/03/31 00:05:00","CAPITL","61757","29.64","1","0","1"
"2025/03/31 00:05:00","CENTRL","61754","27.98","-0.66","0","1"
"2025/03/31 00:05:00","DUNWOD","61760","29.95","1.32","0","1"
"2025/03/31 00:05:00","GENESE","61753","27.12","-1.52","0","1"
"2025/03/31 00:05:00","H Q","61844","28.72","0.09","0","1"
"2025/03/31 00:05:00","HUD VL","61758","29.75","1.12","0","1"
"2025/03/31 00:05:00","LONGIL","61762","30.12","1.49","0","1"
"2025/03/31 00:05:00","MHK VL","61756","28.66","0.03","0","1"
"2025/03/31 00:05:00","MILLWD","61759","29.81","1.17","0","1"
"2025/03/31 00:05:00","N.Y.C.","61761","32.53","1.43","-2.46","1"
"2025/03/31 00:05:00","NORTH","61755","28.69","0.06","0","1"
"2025/03/31 00:05:00","NPX","61845","29.61","0.97","0","1"
"2025/03/31 00:05:00","O H","61846","26","-2.63","0","1"
"2025/03/31 00:05:00","PJM","61847","28.06","-0.57","0","1"
"2025/03/31 00:05:00","WEST","61752","26.29","-2.35","0","1"
"2025/03/31 00:10:00","CAPITL","61757","29.05","0.96","0","1"
"2025/03/31 00:10:00","CENTRL","61754","27.97","-0.59","-0.46","1"
"2025/03/31 00:10:00","DUNWOD","61760","29.36","1.27","0","1"
"2025/03/31 00:10:00","GENESE","61753","26.69","-1.4","0","1"
"2025/03/31 00:10:00","H Q","61844","28.13","0.03","0","1"
"2025/03/31 00:10:00","HUD VL","61758","29.16","1.07","0","1"
"2025/03/31 00:10:00","LONGIL","61762","29.59","1.49","0","1"
"2025/03/31 00:10:00","MHK VL","61756","28.15","0.06","0","1"
"2025/03/31 00:10:00","MILLWD","61759","29.22","1.13","0","1"
"2025/03/31 00:10:00","N.Y.C.","61761","32.01","1.38","-2.53","1"
"2025/03/31 00:10:00","NORTH","61755","28.1","0","0","1"
