"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2025/04/07 00:30:00","CENTRL","61754","38.31","0.08","0","1"
"2025/04/07 00:30:00","DUNWOD","61760","39.27","1.03","0","1"
"2025/04/07 00:30:00","GENESE","61753","37.24","-0.99","0","1"
"2025/04/07 00:30:00","H Q","61844","38.66","0.42","0","1"
"2025/04/07 00:30:00","HUD VL","61758","38.96","0.72","0","1"
"2025/04/07 00:30:00","LONGIL","61762","42.29","1.15","-2.91","1"
"2025/04/07 00:30:00","MHK VL","61756","39.11","0.88","0","1"
"2025/04/07 00:30:00","MILLWD","61759","39.04","0.8","0","1"
"2025/04/07 00:30:00","N.Y.C.","61761","41.94","1.15","-2.56","1"
"2025/04/07 00:30:00","NORTH","61755","39.27","1.03","0","1"
"2025/04/07 00:30:00","NPX","61845","38.39","0.15","0","1"
"2025/04/07 00:30:00","O H","61846","36.21","-2.03","0","1"
"2025/04/07 00:30:00","PJM","61847","38.08","-0.15","0","1"
"2025/04/07 00:30:00","WEST","61752","37.12","-1.11","0","1"
"2025/04/07 00:35:00","CAPITL","61757","38.11","0.56","0","1"
"2025/04/07 00:35:00","CENTRL","61754","37.58","0.04","0","1"
"2025/04/07 00:35:00","DUNWOD","61760","38.63","1.09","0","1"
"2025/04/07 00:35:00","GENESE","61753","36.57","-0.98","0","1"
"2025/04/07 00:35:00","H Q","61844","37.96","0.41","0","1"
"2025/04/07 00:35:00","HUD VL","61758","38.3","0.75","0","1"
"2025/04/07 00:35:00","LONGIL","61762","41.75","1.24","-2.97","1"
"2025/04/07 00:35:00","MHK VL","61756","38.41","0.86","0","1"
"2025/04/07 00:35:00","MILLWD","61759","38.37","0.82","0","1"
"2025/04/07 00:35:00","N.Y.C.","61761","41.41","1.2","-2.67","1"
"2025/04/07 00:35:00","NORTH","61755","38.56","1.01","0","1"
"2025/04/07 00:35:00","NPX","61845","37.73","0.19","0","1"
"2025/04/07 00:35:00","O H","61846","35.52","-2.03","0","1"
"2025/04/07 00:35:00","PJM","61847","37.36","-0.19","0","1"
"2025/04/07 00:35:00","WEST","61752","36.38","-1.16","0","1"
"2025/04/07 00:40:00","CAPITL","61757","38.14","0.56","0","1"
"2025/04/07 00:40:00","CENTRL","61754","37.62","0.04","0","1"
"2025/04/07 00:40:00","DUNWOD","61760","38.63","1.05","0","1"
"2025/04/07 00:40:00","GENESE","61753","36.64","-0.94","0","1"
"2025/04/07 00:40:00","H Q","61844","38.03","0.45","0","1"
"2025/04/07 00:40:00","HUD VL","61758","38.29","0.71","0","1"
"2025/04/07 00:40:00","LONGIL","61762","41.79","1.24","-2.97","1"
"2025/04/07 00:40:00","MHK VL","61756","38.45","0.87","0","1"
"2025/04/07 00:40:00","MILLWD","61759","38.37","0.79","0","1"
"2025/04/07 00:40:00","N.Y.C.","61761","41.41","1.17","-2.67","1"
"2025/04/07 00:40:00","NORTH","61755","38.63","1.05","0","1"
"2025/04/07 00:40:00","NPX","61845","37.77","0.19","0","1"
"2025/04/07 00:40:00","O H","61846","35.59","-1.99","0","1"
"2025/04/07 00:40:00","PJM","61847","37.39","-0.19","0","1"
"2025/04/07 00:40:00","WEST","61752","36.45","-1.13","0","1"
"2025/04/07 00:45:00","CAPITL","61757","37.86","0.56","0","1"
"2025/04/07 00:45:00","CENTRL","61754","37.26","-0.04","0","1"
"2025/04/07 00:45:00","DUNWOD","61760","38.38","1.08","0","1"
"2025/04/07 00:45:00","GENESE","61753","36.26","-1.04","0","1"
"2025/04/07 00:45:00","H Q","61844","37.75","0.45","0","1"
"2025/04/07 00:45:00","HUD VL","61758","38.09","0.78","0","1"
"2025/04/07 00:45:00","LONGIL","61762","41.63","1.34","-2.99","1"
"2025/04/07 00:45:00","MHK VL","61756","38.16","0.86","0","1"
"2025/04/07 00:45:00","MILLWD","61759","38.16","0.86","0","1"
"2025/04/07 00:45:00","N.Y.C.","61761","41.23","1.23","-2.7","1"
"2025/04/07 00:45:00","NORTH","61755","38.34","1.04","0","1"
"2025/04/07 00:45:00","NPX","61845","37.53","0.23","0","1"
"2025/04/07 00:45:00","O H","61846","35.18","-2.12","0","1"
"2025/04/07 00:45:00","PJM","61847","37.08","-0.22","0","1"
"2025/04/07 00:45:00","WEST","61752","36.03","-1.27","0","1"
"2025/04/07 00:50:00","CAPITL","61757","38.22","0.53","0","1"
"2025/04/07 00:50:00","CENTRL","61754","37.73","0.04","0","1"
"2025/04/07 00:50:00","DUNWOD","61760","38.67","0.98","0","1"
"2025/04/07 00:50:00","GENESE","61753","36.83","-0.87","0","1"
"2025/04/07 00:50:00","H Q","61844","38.15","0.45","0","1"
"2025/04/07 00:50:00","HUD VL","61758","38.37","0.68","0","1"
"2025/04/07 00:50:00","LONGIL","61762","41.83","1.17","-2.97","1"
"2025/04/07 00:50:00","MHK VL","61756","38.56","0.87","0","1"
"2025/04/07 00:50:00","MILLWD","61759","38.45","0.75","0","1"
"2025/04/07 00:50:00","N.Y.C.","61761","41.45","1.09","-2.66","1"
"2025/04/07 00:50:00","NORTH","61755","38.79","1.09","0","1"
"2025/04/07 00:50:00","NPX","61845","37.81","0.11","0","1"
"2025/04/07 00:50:00","O H","61846","35.88","-1.81","0","1"
"2025/04/07 00:50:00","PJM","61847","37.5","-0.19","0","1"
"2025/04/07 00:50:00","WEST","61752","36.71","-0.98","0","1"
"2025/04/07 00:55:00","CAPITL","61757","41.53","0.57","0","1"
"2025/04/07 00:55:00","CENTRL","61754","41.08","0.12","0","1"
"2025/04/07 00:55:00","DUNWOD","61760","41.94","0.98","0","1"
"2025/04/07 00:55:00","GENESE","61753","40.22","-0.74","0","1"
"2025/04/07 00:55:00","H Q","61844","41.45","0.49","0","1"
"2025/04/07 00:55:00","HUD VL","61758","41.65","0.7","0","1"
"2025/04/07 00:55:00","LONGIL","61762","44.65","1.11","-2.58","1"
"2025/04/07 00:55:00","MHK VL","61756","41.9","0.94","0","1"
"2025/04/07 00:55:00","MILLWD","61759","41.69","0.74","0","1"
"2025/04/07 00:55:00","N.Y.C.","61761","44.22","1.11","-2.16","1"
"2025/04/07 00:55:00","NORTH","61755","42.1","1.15","0","1"
"2025/04/07 00:55:00","NPX","61845","41.08","0.12","0","1"
"2025/04/07 00:55:00","O H","61846","39.28","-1.68","0","1"
"2025/04/07 00:55:00","PJM","61847","40.83","-0.12","0","1"
"2025/04/07 00:55:00","WEST","61752","40.22","-0.74","0","1"
"2025/04/07 01:00:00","CAPITL","61757","44.52","0.57","0","1"
"2025/04/07 01:00:00","CENTRL","61754","44.08","0.13","0","1"
"2025/04/07 01:00:00","DUNWOD","61760","45","1.05","0","1"
"2025/04/07 01:00:00","GENESE","61753","43.16","-0.79","0","1"
"2025/04/07 01:00:00","H Q","61844","44.48","0.53","0","1"
"2025/04/07 01:00:00","HUD VL","61758","44.65","0.7","0","1"
"2025/04/07 01:00:00","LONGIL","61762","47.32","1.14","-2.24","1"
"2025/04/07 01:00:00","MHK VL","61756","44.96","1.01","0","1"
"2025/04/07 01:00:00","MILLWD","61759","44.74","0.79","0","1"
"2025/04/07 01:00:00","N.Y.C.","61761","46.83","1.19","-1.7","1"
"2025/04/07 01:00:00","NORTH","61755","45.22","1.28","0","1"
"2025/04/07 01:00:00","NPX","61845","44.04","0.09","0","1"
"2025/04/07 01:00:00","O H","61846","42.19","-1.76","0","1"
"2025/04/07 01:00:00","PJM","61847","43.82","-0.13","0","1"
"2025/04/07 01:00:00","WEST","61752","43.16","-0.79","0","1"
"2025/04/07 01:05:00","CAPITL","61757","43.3","0.6","0","1"
"2025/04/07 01:05:00","CENTRL","61754","42.71","0","0","1"
"2025/04/07 01:05:00","DUNWOD","61760","43.77","1.07","0","1"
"2025/04/07 01:05:00","GENESE","61753","41.68","-1.03","0","1"
"2025/04/07 01:05:00","H Q","61844","43.26","0.55","0","1"
"2025/04/07 01:05:00","HUD VL","61758","43.43","0.73","0","1"
"2025/04/07 01:05:00","LONGIL","61762","46.27","1.19","-2.37","1"
"2025/04/07 01:05:00","MHK VL","61756","43.64","0.94","0","1"
"2025/04/07 01:05:00","MILLWD","61759","43.51","0.81","0","1"
"2025/04/07 01:05:00","N.Y.C.","61761","45.78","1.19","-1.89","1"
"2025/04/07 01:05:00","NORTH","61755","43.94","1.24","0","1"
"2025/04/07 01:05:00","NPX","61845","42.88","0.17","0","1"
"2025/04/07 01:05:00","O H","61846","40.57","-2.13","0","1"
"2025/04/07 01:05:00","PJM","61847","42.45","-0.25","0","1"
"2025/04/07 01:05:00","WEST","61752","41.55","-1.15","0","1"
"2025/04/07 01:10:00","CAPITL","61757","42.62","0.59","0","1"
"2025/04/07 01:10:00","CENTRL","61754","42.03","0","0","1"
"2025/04/07 01:10:00","DUNWOD","61760","43.04","1.01","0","1"
"2025/04/07 01:10:00","GENESE","61753","41.02","-1.01","0","1"
"2025/04/07 01:10:00","H Q","61844","42.57","0.54","0","1"
"2025/04/07 01:10:00","HUD VL","61758","42.74","0.71","0","1"
"2025/04/07 01:10:00","LONGIL","61762","45.64","1.14","-2.48","1"
"2025/04/07 01:10:00","MHK VL","61756","43","0.97","0","1"
"2025/04/07 01:10:00","MILLWD","61759","42.79","0.76","0","1"
"2025/04/07 01:10:00","N.Y.C.","61761","45.14","1.14","-1.97","1"
"2025/04/07 01:10:00","NORTH","61755","43.29","1.26","0","1"
"2025/04/07 01:10:00","NPX","61845","42.2","0.17","0","1"
"2025/04/07 01:10:00","O H","61846","39.93","-2.1","0","1"
"2025/04/07 01:10:00","PJM","61847","41.78","-0.25","0","1"
"2025/04/07 01:10:00","WEST","61752","40.9","-1.13","0","1"
"2025/04/07 01:15:00","CAPITL","61757","42.62","0.55","0","1"
"2025/04/07 01:15:00","CENTRL","61754","41.95","-0.13","0","1"
"2025/04/07 01:15:00","DUNWOD","61760","43","0.92","0","1"
"2025/04/07 01:15:00","GENESE","61753","40.94","-1.13","0","1"
"2025/04/07 01:15:00","H Q","61844","42.74","0.67","0","1"
"2025/04/07 01:15:00","HUD VL","61758","42.7","0.63","0","1"
"2025/04/07 01:15:00","LONGIL","61762","45.64","1.09","-2.48","1"
"2025/04/07 01:15:00","MHK VL","61756","43","0.92","0","1"
"2025/04/07 01:15:00","MILLWD","61759","42.79","0.71","0","1"
"2025/04/07 01:15:00","N.Y.C.","61761","45.1","1.05","-1.97","1"
"2025/04/07 01:15:00","NORTH","61755","43.5","1.43","0","1"
"2025/04/07 01:15:00","NPX","61845","42.2","0.13","0","1"
"2025/04/07 01:15:00","O H","61846","39.8","-2.27","0","1"
"2025/04/07 01:15:00","PJM","61847","41.65","-0.42","0","1"
"2025/04/07 01:15:00","WEST","61752","40.72","-1.35","0","1"
"2025/04/07 01:20:00","CAPITL","61757","42.66","0.55","0","1"
"2025/04/07 01:20:00","CENTRL","61754","42.03","-0.08","0","1"
"2025/04/07 01:20:00","DUNWOD","61760","43.04","0.93","0","1"
"2025/04/07 01:20:00","GENESE","61753","41.06","-1.05","0","1"
"2025/04/07 01:20:00","H Q","61844","42.78","0.67","0","1"
"2025/04/07 01:20:00","HUD VL","61758","42.7","0.59","0","1"
"2025/04/07 01:20:00","LONGIL","61762","45.64","1.05","-2.48","1"
"2025/04/07 01:20:00","MHK VL","61756","43.04","0.93","0","1"
"2025/04/07 01:20:00","MILLWD","61759","42.78","0.67","0","1"
"2025/04/07 01:20:00","N.Y.C.","61761","45.14","1.05","-1.97","1"
"2025/04/07 01:20:00","NORTH","61755","43.54","1.43","0","1"
"2025/04/07 01:20:00","NPX","61845","42.24","0.13","0","1"
"2025/04/07 01:20:00","O H","61846","40.01","-2.1","0","1"
"2025/04/07 01:20:00","PJM","61847","41.73","-0.38","0","1"
"2025/04/07 01:20:00","WEST","61752","40.93","-1.18","0","1"
"2025/04/07 01:25:00","CAPITL","61757","42.49","0.59","0","1"
"2025/04/07 01:25:00","CENTRL","61754","41.82","-0.08","0","1"
"2025/04/07 01:25:00","DUNWOD","61760","42.87","0.96","0","1"
"2025/04/07 01:25:00","GENESE","61753","40.77","-1.13","0","1"
"2025/04/07 01:25:00","H Q","61844","42.57","0.67","0","1"
"2025/04/07 01:25:00","HUD VL","61758","42.53","0.63","0","1"
"2025/04/07 01:25:00","LONGIL","61762","45.45","1.05","-2.5","1"
"2025/04/07 01:25:00","MHK VL","61756","42.82","0.92","0","1"
"2025/04/07 01:25:00","MILLWD","61759","42.62","0.71","0","1"
"2025/04/07 01:25:00","N.Y.C.","61761","44.96","1.05","-2","1"
"2025/04/07 01:25:00","NORTH","61755","43.33","1.43","0","1"
"2025/04/07 01:25:00","NPX","61845","42.03","0.13","0","1"
"2025/04/07 01:25:00","O H","61846","39.68","-2.22","0","1"
"2025/04/07 01:25:00","PJM","61847","41.57","-0.34","0","1"
"2025/04/07 01:25:00","WEST","61752","40.65","-1.26","0","1"
"2025/04/07 01:30:00","CAPITL","61757","45.89","0.59","0","1"
"2025/04/07 01:30:00","CENTRL","61754","45.12","-0.18","0","1"
"2025/04/07 01:30:00","DUNWOD","61760","46.26","0.95","0","1"
"2025/04/07 01:30:00","GENESE","61753","44.03","-1.27","0","1"
"2025/04/07 01:30:00","H Q","61844","46.02","0.72","0","1"
"2025/04/07 01:30:00","HUD VL","61758","45.94","0.63","0","1"
"2025/04/07 01:30:00","LONGIL","61762","48.49","1.09","-2.1","1"
"2025/04/07 01:30:00","MHK VL","61756","46.3","1","0","1"
"2025/04/07 01:30:00","MILLWD","61759","45.98","0.68","0","1"
"2025/04/07 01:30:00","N.Y.C.","61761","47.79","1","-1.5","1"
"2025/04/07 01:30:00","NORTH","61755","46.89","1.58","0","1"
"2025/04/07 01:30:00","NPX","61845","45.39","0.09","0","1"
