Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/02/2025 00:00,CAPITL,61757,49.96,1.36,0.00
11/02/2025 00:00,CENTRL,61754,48.16,-0.44,0.00
11/02/2025 00:00,DUNWOD,61760,51.22,2.62,0.00
11/02/2025 00:00,GENESE,61753,47.09,-1.51,0.00
11/02/2025 00:00,H Q,61844,48.99,0.39,0.00
11/02/2025 00:00,HUD VL,61758,50.98,2.38,0.00
11/02/2025 00:00,LONGIL,61762,49.02,1.36,0.94
11/02/2025 00:00,MHK VL,61756,49.91,1.31,0.00
11/02/2025 00:00,MILLWD,61759,51.08,2.48,0.00
11/02/2025 00:00,N.Y.C.,61761,51.52,2.92,0.00
11/02/2025 00:00,NORTH,61755,49.76,1.16,0.00
11/02/2025 00:00,NPX,61845,49.57,0.97,0.00
11/02/2025 00:00,O H,61846,46.12,-2.48,0.00
11/02/2025 00:00,PJM,61847,48.60,0.00,0.00
11/02/2025 00:00,WEST,61752,46.61,-1.99,0.00
11/02/2025 01:00,CAPITL,61757,52.73,1.29,0.00
11/02/2025 01:00,CENTRL,61754,51.34,-0.10,0.00
11/02/2025 01:00,DUNWOD,61760,53.55,2.11,0.00
11/02/2025 01:00,GENESE,61753,50.72,-0.72,0.00
11/02/2025 01:00,H Q,61844,51.90,0.46,0.00
11/02/2025 01:00,HUD VL,61758,53.40,1.95,0.00
11/02/2025 01:00,LONGIL,61762,49.17,0.31,2.58
11/02/2025 01:00,MHK VL,61756,52.88,1.44,0.00
11/02/2025 01:00,MILLWD,61759,53.50,2.06,0.00
11/02/2025 01:00,N.Y.C.,61761,53.65,2.21,0.00
11/02/2025 01:00,NORTH,61755,52.83,1.39,0.00
11/02/2025 01:00,NPX,61845,52.31,0.87,0.00
11/02/2025 01:00,O H,61846,50.21,-1.24,0.00
11/02/2025 01:00,PJM,61847,51.75,0.31,0.00
11/02/2025 01:00,WEST,61752,50.72,-0.72,0.00
11/02/2025 01:00,CAPITL,61757,51.44,1.35,0.00
11/02/2025 01:00,CENTRL,61754,49.79,-0.30,0.00
11/02/2025 01:00,DUNWOD,61760,52.39,2.31,0.00
