"RTD End Time Stamp","Interface Name","Interface PTID","RTD Flow MW","Positive Limit","Negative Limit"
"2025/04/07 00:55:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 00:55:00","PJM-NYISO","23316","1080.38","2400","-2400"
"2025/04/07 01:00:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:00:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:00:00","IMO-NYISO","23317","1437.44","2200","-1850"
"2025/04/07 01:00:00","ISONE-NYISO","23318","-194.96","1100","-1800"
"2025/04/07 01:00:00","NPX-1385","325277","78","160","-160"
"2025/04/07 01:00:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:00:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:00:00","PJM-NYISO","23316","1025.35","2400","-2400"
"2025/04/07 01:05:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:05:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:05:00","IMO-NYISO","23317","1584.48","2200","-1850"
"2025/04/07 01:05:00","ISONE-NYISO","23318","-223.01","1100","-1800"
"2025/04/07 01:05:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:05:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:05:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:05:00","PJM-NYISO","23316","969.61","2400","-2400"
"2025/04/07 01:10:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 01:10:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 01:10:00","IMO-NYISO","23317","1584.5","2200","-1850"
"2025/04/07 01:10:00","ISONE-NYISO","23318","-222.95","1100","-1800"
"2025/04/07 01:10:00","NPX-1385","325277","66","160","-160"
"2025/04/07 01:10:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 01:10:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 01:10:00","PJM-NYISO","23316","970.79","2400","-2400"
