"Time Stamp","Time Zone","Name","PTID","Load"
"01/03/2026 00:40:00","EST","CAPITL",61757,1496.8348
"01/03/2026 00:40:00","EST","CENTRL",61754,1835.3499
"01/03/2026 00:40:00","EST","DUNWOD",61760,661.6501
"01/03/2026 00:40:00","EST","GENESE",61753,1116.1392
"01/03/2026 00:40:00","EST","HUD VL",61758,1259.9136
"01/03/2026 00:40:00","EST","LONGIL",61762,2345.9792
"01/03/2026 00:40:00","EST","MHK VL",61756,1005.5572
"01/03/2026 00:40:00","EST","MILLWD",61759,370.5887
"01/03/2026 00:40:00","EST","N.Y.C.",61761,5582.111
"01/03/2026 00:40:00","EST","NORTH",61755,742.4638
"01/03/2026 00:40:00","EST","WEST",61752,1701.4731
"01/03/2026 00:45:00","EST","CAPITL",61757,1485.9585
"01/03/2026 00:45:00","EST","CENTRL",61754,1859.6877
"01/03/2026 00:45:00","EST","DUNWOD",61760,664.7492
"01/03/2026 00:45:00","EST","GENESE",61753,1110.3783
"01/03/2026 00:45:00","EST","HUD VL",61758,1260.4358
"01/03/2026 00:45:00","EST","LONGIL",61762,2334.939
"01/03/2026 00:45:00","EST","MHK VL",61756,978.1716
"01/03/2026 00:45:00","EST","MILLWD",61759,372.5208
"01/03/2026 00:45:00","EST","N.Y.C.",61761,5575.84
"01/03/2026 00:45:00","EST","NORTH",61755,751.7368
"01/03/2026 00:45:00","EST","WEST",61752,1704.4105
"01/03/2026 00:50:00","EST","CAPITL",61757,1487.0345
"01/03/2026 00:50:00","EST","CENTRL",61754,1867.1116
"01/03/2026 00:50:00","EST","DUNWOD",61760,669.7156
"01/03/2026 00:50:00","EST","GENESE",61753,1105.592
"01/03/2026 00:50:00","EST","HUD VL",61758,1258.2228
"01/03/2026 00:50:00","EST","LONGIL",61762,2319.2969
"01/03/2026 00:50:00","EST","MHK VL",61756,984.7322
"01/03/2026 00:50:00","EST","MILLWD",61759,367.7793
"01/03/2026 00:50:00","EST","N.Y.C.",61761,5585.4717
"01/03/2026 00:50:00","EST","NORTH",61755,740.5927
"01/03/2026 00:50:00","EST","WEST",61752,1689.6028
"01/03/2026 00:55:00","EST","CAPITL",61757,1483.7042
"01/03/2026 00:55:00","EST","CENTRL",61754,1865.4907
"01/03/2026 00:55:00","EST","DUNWOD",61760,668.3751
"01/03/2026 00:55:00","EST","GENESE",61753,1102.7483
"01/03/2026 00:55:00","EST","HUD VL",61758,1232.1174
"01/03/2026 00:55:00","EST","LONGIL",61762,2318.2632
"01/03/2026 00:55:00","EST","MHK VL",61756,986.1838
"01/03/2026 00:55:00","EST","MILLWD",61759,372.0752
"01/03/2026 00:55:00","EST","N.Y.C.",61761,5542.9175
"01/03/2026 00:55:00","EST","NORTH",61755,748.6285
"01/03/2026 00:55:00","EST","WEST",61752,1699.224
"01/03/2026 01:00:00","EST","CAPITL",61757,1466.3684
"01/03/2026 01:00:00","EST","CENTRL",61754,1829.6858
"01/03/2026 01:00:00","EST","DUNWOD",61760,664.1276
"01/03/2026 01:00:00","EST","GENESE",61753,1094.231
"01/03/2026 01:00:00","EST","HUD VL",61758,1239.2595
"01/03/2026 01:00:00","EST","LONGIL",61762,2307.5332
"01/03/2026 01:00:00","EST","MHK VL",61756,993.4968
"01/03/2026 01:00:00","EST","MILLWD",61759,367.3135
"01/03/2026 01:00:00","EST","N.Y.C.",61761,5527.843
"01/03/2026 01:00:00","EST","NORTH",61755,741.9517
"01/03/2026 01:00:00","EST","WEST",61752,1709.5962
"01/03/2026 01:05:00","EST","CAPITL",61757,1476.5958
"01/03/2026 01:05:00","EST","CENTRL",61754,1853.3696
"01/03/2026 01:05:00","EST","DUNWOD",61760,665.4732
"01/03/2026 01:05:00","EST","GENESE",61753,1098.3937
"01/03/2026 01:05:00","EST","HUD VL",61758,1254.3191
"01/03/2026 01:05:00","EST","LONGIL",61762,2295.5134
"01/03/2026 01:05:00","EST","MHK VL",61756,973.6942
