"Time Stamp","Time Zone","Name","PTID","Load"
"01/11/2026 00:00:00","EST","CAPITL",61757,1278.5818
"01/11/2026 00:00:00","EST","CENTRL",61754,1628.0925
"01/11/2026 00:00:00","EST","DUNWOD",61760,607.9501
"01/11/2026 00:00:00","EST","GENESE",61753,978.7056
"01/11/2026 00:00:00","EST","HUD VL",61758,1031.5161
"01/11/2026 00:00:00","EST","LONGIL",61762,1961.5476
"01/11/2026 00:00:00","EST","MHK VL",61756,841.4916
"01/11/2026 00:00:00","EST","MILLWD",61759,288.3246
"01/11/2026 00:00:00","EST","N.Y.C.",61761,4979.6284
"01/11/2026 00:00:00","EST","NORTH",61755,641.8847
"01/11/2026 00:00:00","EST","WEST",61752,1617.1385
"01/11/2026 00:05:00","EST","CAPITL",61757,1282.7312
"01/11/2026 00:05:00","EST","CENTRL",61754,1635.6858
"01/11/2026 00:05:00","EST","DUNWOD",61760,610.1539
"01/11/2026 00:05:00","EST","GENESE",61753,976.2054
"01/11/2026 00:05:00","EST","HUD VL",61758,1019.9027
"01/11/2026 00:05:00","EST","LONGIL",61762,1951.6136
"01/11/2026 00:05:00","EST","MHK VL",61756,835.7051
"01/11/2026 00:05:00","EST","MILLWD",61759,283.7806
"01/11/2026 00:05:00","EST","N.Y.C.",61761,4948.0264
"01/11/2026 00:05:00","EST","NORTH",61755,628.949
"01/11/2026 00:05:00","EST","WEST",61752,1604.1731
"01/11/2026 00:10:00","EST","CAPITL",61757,1279.8829
"01/11/2026 00:10:00","EST","CENTRL",61754,1617.022
"01/11/2026 00:10:00","EST","DUNWOD",61760,605.436
"01/11/2026 00:10:00","EST","GENESE",61753,976.4683
"01/11/2026 00:10:00","EST","HUD VL",61758,1031.7025
"01/11/2026 00:10:00","EST","LONGIL",61762,1965.7966
"01/11/2026 00:10:00","EST","MHK VL",61756,838.2655
"01/11/2026 00:10:00","EST","MILLWD",61759,290.6182
"01/11/2026 00:10:00","EST","N.Y.C.",61761,4932.7964
"01/11/2026 00:10:00","EST","NORTH",61755,634.3081
"01/11/2026 00:10:00","EST","WEST",61752,1613.8385
"01/11/2026 00:15:00","EST","CAPITL",61757,1285.1123
"01/11/2026 00:15:00","EST","CENTRL",61754,1624.437
"01/11/2026 00:15:00","EST","DUNWOD",61760,616.7542
"01/11/2026 00:15:00","EST","GENESE",61753,978.7067
"01/11/2026 00:15:00","EST","HUD VL",61758,1028.4927
"01/11/2026 00:15:00","EST","LONGIL",61762,1948.3435
"01/11/2026 00:15:00","EST","MHK VL",61756,828.7827
"01/11/2026 00:15:00","EST","MILLWD",61759,283.7949
"01/11/2026 00:15:00","EST","N.Y.C.",61761,4925.696
"01/11/2026 00:15:00","EST","NORTH",61755,624.4931
"01/11/2026 00:15:00","EST","WEST",61752,1592.6821
"01/11/2026 00:20:00","EST","CAPITL",61757,1271.6211
"01/11/2026 00:20:00","EST","CENTRL",61754,1626.2241
"01/11/2026 00:20:00","EST","DUNWOD",61760,613.8143
"01/11/2026 00:20:00","EST","GENESE",61753,976.1691
"01/11/2026 00:20:00","EST","HUD VL",61758,1020.088
"01/11/2026 00:20:00","EST","LONGIL",61762,1933.3071
"01/11/2026 00:20:00","EST","MHK VL",61756,813.4982
"01/11/2026 00:20:00","EST","MILLWD",61759,282.2996
"01/11/2026 00:20:00","EST","N.Y.C.",61761,4898.313
"01/11/2026 00:20:00","EST","NORTH",61755,636.0033
"01/11/2026 00:20:00","EST","WEST",61752,1575.225
"01/11/2026 00:25:00","EST","CAPITL",61757,1288.9177
"01/11/2026 00:25:00","EST","CENTRL",61754,1607.8982
"01/11/2026 00:25:00","EST","DUNWOD",61760,610.1613
"01/11/2026 00:25:00","EST","GENESE",61753,967.7623
"01/11/2026 00:25:00","EST","HUD VL",61758,1019.6047
"01/11/2026 00:25:00","EST","LONGIL",61762,1929.5117
"01/11/2026 00:25:00","EST","MHK VL",61756,823.9729
"01/11/2026 00:25:00","EST","MILLWD",61759,292.7078
"01/11/2026 00:25:00","EST","N.Y.C.",61761,4912.3794
"01/11/2026 00:25:00","EST","NORTH",61755,632.7616
"01/11/2026 00:25:00","EST","WEST",61752,1591.4755
"01/11/2026 00:30:00","EST","CAPITL",61757,1272.814
"01/11/2026 00:30:00","EST","CENTRL",61754,1615.2217
"01/11/2026 00:30:00","EST","DUNWOD",61760,603.5869
"01/11/2026 00:30:00","EST","GENESE",61753,977.6849
"01/11/2026 00:30:00","EST","HUD VL",61758,993.8561
"01/11/2026 00:30:00","EST","LONGIL",61762,1921.3386
"01/11/2026 00:30:00","EST","MHK VL",61756,803.8949
"01/11/2026 00:30:00","EST","MILLWD",61759,291.256
"01/11/2026 00:30:00","EST","N.Y.C.",61761,4856.96
"01/11/2026 00:30:00","EST","NORTH",61755,638.3772
"01/11/2026 00:30:00","EST","WEST",61752,1560.6254
"01/11/2026 00:35:00","EST","CAPITL",61757,1273.3171
"01/11/2026 00:35:00","EST","CENTRL",61754,1601.7644
"01/11/2026 00:35:00","EST","DUNWOD",61760,604.585
"01/11/2026 00:35:00","EST","GENESE",61753,967.2087
"01/11/2026 00:35:00","EST","HUD VL",61758,1010.8365
"01/11/2026 00:35:00","EST","LONGIL",61762,1907.4032
"01/11/2026 00:35:00","EST","MHK VL",61756,817.0087
"01/11/2026 00:35:00","EST","MILLWD",61759,275.9733
"01/11/2026 00:35:00","EST","N.Y.C.",61761,4864.201
"01/11/2026 00:35:00","EST","NORTH",61755,633.1342
"01/11/2026 00:35:00","EST","WEST",61752,1583.4036
"01/11/2026 00:40:00","EST","CAPITL",61757,1269.3191
"01/11/2026 00:40:00","EST","CENTRL",61754,1595.8269
"01/11/2026 00:40:00","EST","DUNWOD",61760,590.7535
"01/11/2026 00:40:00","EST","GENESE",61753,960.3451
"01/11/2026 00:40:00","EST","HUD VL",61758,987.7495
"01/11/2026 00:40:00","EST","LONGIL",61762,1900.8596
"01/11/2026 00:40:00","EST","MHK VL",61756,811.4734
"01/11/2026 00:40:00","EST","MILLWD",61759,287.1248
