"Time Stamp","Time Zone","Name","PTID","Load"
"11/14/2025 00:00:00","EST","CAPITL",61757,1195.1782
"11/14/2025 00:00:00","EST","CENTRL",61754,1633.865
"11/14/2025 00:00:00","EST","DUNWOD",61760,548.1455
"11/14/2025 00:00:00","EST","GENESE",61753,971.4404
"11/14/2025 00:00:00","EST","HUD VL",61758,1015.5994
"11/14/2025 00:00:00","EST","LONGIL",61762,1884.801
"11/14/2025 00:00:00","EST","MHK VL",61756,789.9345
"11/14/2025 00:00:00","EST","MILLWD",61759,261.5039
"11/14/2025 00:00:00","EST","N.Y.C.",61761,4736.5615
"11/14/2025 00:00:00","EST","NORTH",61755,655.489
"11/14/2025 00:00:00","EST","WEST",61752,1453.9387
"11/14/2025 00:05:00","EST","CAPITL",61757,1189.145
"11/14/2025 00:05:00","EST","CENTRL",61754,1612.5505
"11/14/2025 00:05:00","EST","DUNWOD",61760,555.0208
"11/14/2025 00:05:00","EST","GENESE",61753,963.2682
"11/14/2025 00:05:00","EST","HUD VL",61758,972.6054
"11/14/2025 00:05:00","EST","LONGIL",61762,1874.7915
"11/14/2025 00:05:00","EST","MHK VL",61756,796.0852
"11/14/2025 00:05:00","EST","MILLWD",61759,268.1629
"11/14/2025 00:05:00","EST","N.Y.C.",61761,4680.4062
"11/14/2025 00:05:00","EST","NORTH",61755,655.9719
"11/14/2025 00:05:00","EST","WEST",61752,1469.0305
"11/14/2025 00:10:00","EST","CAPITL",61757,1205.7302
"11/14/2025 00:10:00","EST","CENTRL",61754,1614.5769
"11/14/2025 00:10:00","EST","DUNWOD",61760,556.5936
"11/14/2025 00:10:00","EST","GENESE",61753,963.3747
"11/14/2025 00:10:00","EST","HUD VL",61758,999.9205
"11/14/2025 00:10:00","EST","LONGIL",61762,1877.1687
"11/14/2025 00:10:00","EST","MHK VL",61756,783.5028
"11/14/2025 00:10:00","EST","MILLWD",61759,270.4032
"11/14/2025 00:10:00","EST","N.Y.C.",61761,4663.051
"11/14/2025 00:10:00","EST","NORTH",61755,664.2777
"11/14/2025 00:10:00","EST","WEST",61752,1465.7904
"11/14/2025 00:15:00","EST","CAPITL",61757,1190.5824
"11/14/2025 00:15:00","EST","CENTRL",61754,1626.5894
"11/14/2025 00:15:00","EST","DUNWOD",61760,552.4478
"11/14/2025 00:15:00","EST","GENESE",61753,960.7557
"11/14/2025 00:15:00","EST","HUD VL",61758,989.2728
"11/14/2025 00:15:00","EST","LONGIL",61762,1856.2407
"11/14/2025 00:15:00","EST","MHK VL",61756,791.3185
"11/14/2025 00:15:00","EST","MILLWD",61759,270.1431
"11/14/2025 00:15:00","EST","N.Y.C.",61761,4643.885
"11/14/2025 00:15:00","EST","NORTH",61755,656.0516
"11/14/2025 00:15:00","EST","WEST",61752,1452.4688
"11/14/2025 00:20:00","EST","CAPITL",61757,1159.023
"11/14/2025 00:20:00","EST","CENTRL",61754,1616.0857
"11/14/2025 00:20:00","EST","DUNWOD",61760,550.9646
"11/14/2025 00:20:00","EST","GENESE",61753,955.6959
"11/14/2025 00:20:00","EST","HUD VL",61758,973.5917
"11/14/2025 00:20:00","EST","LONGIL",61762,1849.0259
"11/14/2025 00:20:00","EST","MHK VL",61756,788.8204
"11/14/2025 00:20:00","EST","MILLWD",61759,279.5685
"11/14/2025 00:20:00","EST","N.Y.C.",61761,4618.2256
"11/14/2025 00:20:00","EST","NORTH",61755,658.7172
"11/14/2025 00:20:00","EST","WEST",61752,1449.637
"11/14/2025 00:25:00","EST","CAPITL",61757,1198.2163
"11/14/2025 00:25:00","EST","CENTRL",61754,1601.8378
"11/14/2025 00:25:00","EST","DUNWOD",61760,552.4994
"11/14/2025 00:25:00","EST","GENESE",61753,950.2246
"11/14/2025 00:25:00","EST","HUD VL",61758,991.0043
"11/14/2025 00:25:00","EST","LONGIL",61762,1856.568
"11/14/2025 00:25:00","EST","MHK VL",61756,782.1925
"11/14/2025 00:25:00","EST","MILLWD",61759,271.7942
"11/14/2025 00:25:00","EST","N.Y.C.",61761,4622.5864
"11/14/2025 00:25:00","EST","NORTH",61755,644.3065
"11/14/2025 00:25:00","EST","WEST",61752,1448.2345
"11/14/2025 00:30:00","EST","CAPITL",61757,1188.5237
"11/14/2025 00:30:00","EST","CENTRL",61754,1571.1404
"11/14/2025 00:30:00","EST","DUNWOD",61760,558.3572
"11/14/2025 00:30:00","EST","GENESE",61753,949.9023
"11/14/2025 00:30:00","EST","HUD VL",61758,989.5198
"11/14/2025 00:30:00","EST","LONGIL",61762,1859.64
"11/14/2025 00:30:00","EST","MHK VL",61756,783.7568
"11/14/2025 00:30:00","EST","MILLWD",61759,263.2463
"11/14/2025 00:30:00","EST","N.Y.C.",61761,4613.529
"11/14/2025 00:30:00","EST","NORTH",61755,648.1665
"11/14/2025 00:30:00","EST","WEST",61752,1453.6456
"11/14/2025 00:35:00","EST","CAPITL",61757,1181.0557
"11/14/2025 00:35:00","EST","CENTRL",61754,1561.5186
"11/14/2025 00:35:00","EST","DUNWOD",61760,554.9086
"11/14/2025 00:35:00","EST","GENESE",61753,950.7558
"11/14/2025 00:35:00","EST","HUD VL",61758,985.9055
"11/14/2025 00:35:00","EST","LONGIL",61762,1835.8834
"11/14/2025 00:35:00","EST","MHK VL",61756,780.035
"11/14/2025 00:35:00","EST","MILLWD",61759,264.1029
"11/14/2025 00:35:00","EST","N.Y.C.",61761,4603.0557
"11/14/2025 00:35:00","EST","NORTH",61755,652.9819
"11/14/2025 00:35:00","EST","WEST",61752,1448.9805
"11/14/2025 00:40:00","EST","CAPITL",61757,1164.4536
"11/14/2025 00:40:00","EST","CENTRL",61754,1598.7455
"11/14/2025 00:40:00","EST","DUNWOD",61760,549.6715
"11/14/2025 00:40:00","EST","GENESE",61753,949.1855
"11/14/2025 00:40:00","EST","HUD VL",61758,986.1977
"11/14/2025 00:40:00","EST","LONGIL",61762,1841.3774
"11/14/2025 00:40:00","EST","MHK VL",61756,771.5814
"11/14/2025 00:40:00","EST","MILLWD",61759,253.6671
"11/14/2025 00:40:00","EST","N.Y.C.",61761,4550.54
"11/14/2025 00:40:00","EST","NORTH",61755,656.4598
"11/14/2025 00:40:00","EST","WEST",61752,1442.3374
"11/14/2025 00:45:00","EST","CAPITL",61757,1174.2213
"11/14/2025 00:45:00","EST","CENTRL",61754,1605.7233
"11/14/2025 00:45:00","EST","DUNWOD",61760,545.96
"11/14/2025 00:45:00","EST","GENESE",61753,942.88
"11/14/2025 00:45:00","EST","HUD VL",61758,983.4507
"11/14/2025 00:45:00","EST","LONGIL",61762,1841.3889
"11/14/2025 00:45:00","EST","MHK VL",61756,772.0667
"11/14/2025 00:45:00","EST","MILLWD",61759,253.6999
"11/14/2025 00:45:00","EST","N.Y.C.",61761,4553.948
"11/14/2025 00:45:00","EST","NORTH",61755,637.2434
"11/14/2025 00:45:00","EST","WEST",61752,1416.4147
"11/14/2025 00:50:00","EST","CAPITL",61757,1173.9413
"11/14/2025 00:50:00","EST","CENTRL",61754,1599.6611
"11/14/2025 00:50:00","EST","DUNWOD",61760,538.3948
"11/14/2025 00:50:00","EST","GENESE",61753,942.2122
"11/14/2025 00:50:00","EST","HUD VL",61758,983.9619
"11/14/2025 00:50:00","EST","LONGIL",61762,1804.946
"11/14/2025 00:50:00","EST","MHK VL",61756,762.8503
"11/14/2025 00:50:00","EST","MILLWD",61759,257.6323
"11/14/2025 00:50:00","EST","N.Y.C.",61761,4549.2896
"11/14/2025 00:50:00","EST","NORTH",61755,648.8717
"11/14/2025 00:50:00","EST","WEST",61752,1430.8778
"11/14/2025 00:55:00","EST","CAPITL",61757,1181.0269
"11/14/2025 00:55:00","EST","CENTRL",61754,1590.6406
"11/14/2025 00:55:00","EST","DUNWOD",61760,547.8693
"11/14/2025 00:55:00","EST","GENESE",61753,940.4239
"11/14/2025 00:55:00","EST","HUD VL",61758,975.2556
"11/14/2025 00:55:00","EST","LONGIL",61762,1797.812
"11/14/2025 00:55:00","EST","MHK VL",61756,775.1847
"11/14/2025 00:55:00","EST","MILLWD",61759,255.2914
"11/14/2025 00:55:00","EST","N.Y.C.",61761,4528.037
"11/14/2025 00:55:00","EST","NORTH",61755,647.6914
"11/14/2025 00:55:00","EST","WEST",61752,1423.1578
"11/14/2025 01:00:00","EST","CAPITL",61757,1175.5461
"11/14/2025 01:00:00","EST","CENTRL",61754,1588.1764
"11/14/2025 01:00:00","EST","DUNWOD",61760,548.3693
"11/14/2025 01:00:00","EST","GENESE",61753,941.0347
"11/14/2025 01:00:00","EST","HUD VL",61758,961.5152
"11/14/2025 01:00:00","EST","LONGIL",61762,1781.4025
"11/14/2025 01:00:00","EST","MHK VL",61756,786.6537
"11/14/2025 01:00:00","EST","MILLWD",61759,257.1841
"11/14/2025 01:00:00","EST","N.Y.C.",61761,4483.537
"11/14/2025 01:00:00","EST","NORTH",61755,633.9966
"11/14/2025 01:00:00","EST","WEST",61752,1414.1273
"11/14/2025 01:05:00","EST","CAPITL",61757,1168.8123
"11/14/2025 01:05:00","EST","CENTRL",61754,1604.1826
"11/14/2025 01:05:00","EST","DUNWOD",61760,539.1986
"11/14/2025 01:05:00","EST","GENESE",61753,931.3625
"11/14/2025 01:05:00","EST","HUD VL",61758,982.3396
"11/14/2025 01:05:00","EST","LONGIL",61762,1775.4891
"11/14/2025 01:05:00","EST","MHK VL",61756,775.08
"11/14/2025 01:05:00","EST","MILLWD",61759,245.6227
"11/14/2025 01:05:00","EST","N.Y.C.",61761,4500.818
"11/14/2025 01:05:00","EST","NORTH",61755,639.1289
"11/14/2025 01:05:00","EST","WEST",61752,1425.0763
"11/14/2025 01:10:00","EST","CAPITL",61757,1182.943
"11/14/2025 01:10:00","EST","CENTRL",61754,1589.3438
"11/14/2025 01:10:00","EST","DUNWOD",61760,531.0996
"11/14/2025 01:10:00","EST","GENESE",61753,929.8996
"11/14/2025 01:10:00","EST","HUD VL",61758,968.3574
"11/14/2025 01:10:00","EST","LONGIL",61762,1770.8386
"11/14/2025 01:10:00","EST","MHK VL",61756,768.793
"11/14/2025 01:10:00","EST","MILLWD",61759,261.958
"11/14/2025 01:10:00","EST","N.Y.C.",61761,4496.9087
"11/14/2025 01:10:00","EST","NORTH",61755,642.1201
"11/14/2025 01:10:00","EST","WEST",61752,1424.5686
"11/14/2025 01:15:00","EST","CAPITL",61757,1189.3898
"11/14/2025 01:15:00","EST","CENTRL",61754,1602.6025
"11/14/2025 01:15:00","EST","DUNWOD",61760,539.4109
"11/14/2025 01:15:00","EST","GENESE",61753,925.3834
"11/14/2025 01:15:00","EST","HUD VL",61758,967.923
"11/14/2025 01:15:00","EST","LONGIL",61762,1773.0352
"11/14/2025 01:15:00","EST","MHK VL",61756,759.2941
"11/14/2025 01:15:00","EST","MILLWD",61759,255.2839
"11/14/2025 01:15:00","EST","N.Y.C.",61761,4459.0137
"11/14/2025 01:15:00","EST","NORTH",61755,651.1424
"11/14/2025 01:15:00","EST","WEST",61752,1422.8333
"11/14/2025 01:20:00","EST","CAPITL",61757,1175.6082
"11/14/2025 01:20:00","EST","CENTRL",61754,1551.7549
"11/14/2025 01:20:00","EST","DUNWOD",61760,530.8709
"11/14/2025 01:20:00","EST","GENESE",61753,926.6086
"11/14/2025 01:20:00","EST","HUD VL",61758,963.6083
"11/14/2025 01:20:00","EST","LONGIL",61762,1767.0021
"11/14/2025 01:20:00","EST","MHK VL",61756,772.4872
"11/14/2025 01:20:00","EST","MILLWD",61759,247.8739
"11/14/2025 01:20:00","EST","N.Y.C.",61761,4452.309
"11/14/2025 01:20:00","EST","NORTH",61755,654.9897
"11/14/2025 01:20:00","EST","WEST",61752,1397.9762
"11/14/2025 01:25:00","EST","CAPITL",61757,1169.4993
"11/14/2025 01:25:00","EST","CENTRL",61754,1602.1597
"11/14/2025 01:25:00","EST","DUNWOD",61760,529.9788
"11/14/2025 01:25:00","EST","GENESE",61753,922.7168
"11/14/2025 01:25:00","EST","HUD VL",61758,952.1557
"11/14/2025 01:25:00","EST","LONGIL",61762,1759.5386
"11/14/2025 01:25:00","EST","MHK VL",61756,764.8308
"11/14/2025 01:25:00","EST","MILLWD",61759,257.3417
"11/14/2025 01:25:00","EST","N.Y.C.",61761,4445.3413
"11/14/2025 01:25:00","EST","NORTH",61755,648.2294
"11/14/2025 01:25:00","EST","WEST",61752,1408.1439
"11/14/2025 01:30:00","EST","CAPITL",61757,1167.7424
"11/14/2025 01:30:00","EST","CENTRL",61754,1554.1809
"11/14/2025 01:30:00","EST","DUNWOD",61760,529.4008
"11/14/2025 01:30:00","EST","GENESE",61753,921.4572
"11/14/2025 01:30:00","EST","HUD VL",61758,936.2299
"11/14/2025 01:30:00","EST","LONGIL",61762,1757.6443
"11/14/2025 01:30:00","EST","MHK VL",61756,786.1963
"11/14/2025 01:30:00","EST","MILLWD",61759,257.0181
"11/14/2025 01:30:00","EST","N.Y.C.",61761,4424.301
"11/14/2025 01:30:00","EST","NORTH",61755,625.0147
"11/14/2025 01:30:00","EST","WEST",61752,1402.8589
"11/14/2025 01:35:00","EST","CAPITL",61757,1153.9425
"11/14/2025 01:35:00","EST","CENTRL",61754,1541.02
"11/14/2025 01:35:00","EST","DUNWOD",61760,527.9326
"11/14/2025 01:35:00","EST","GENESE",61753,932.6165
"11/14/2025 01:35:00","EST","HUD VL",61758,930.5234
"11/14/2025 01:35:00","EST","LONGIL",61762,1753.8245
"11/14/2025 01:35:00","EST","MHK VL",61756,779.195
"11/14/2025 01:35:00","EST","MILLWD",61759,263.0627
"11/14/2025 01:35:00","EST","N.Y.C.",61761,4394.3555
"11/14/2025 01:35:00","EST","NORTH",61755,640.3906
"11/14/2025 01:35:00","EST","WEST",61752,1387.1313
