"RTD End Time Stamp","Zone Name","Zone PTID","RTD Actual Load"
"2025/03/31 00:45:00","MHK VL","61756","687.1077"
"2025/03/31 00:45:00","MILLWD","61759","233.1325"
"2025/03/31 00:45:00","N.Y.C.","61761","4328.2266"
"2025/03/31 00:45:00","NORTH","61755","640.1598"
"2025/03/31 00:45:00","WEST","61752","1491.7462"
"2025/03/31 00:50:00","CAPITL","61757","1122.261"
"2025/03/31 00:50:00","CENTRL","61754","1342.165"
"2025/03/31 00:50:00","DUNWOD","61760","502.5753"
"2025/03/31 00:50:00","GENESE","61753","855.5808"
"2025/03/31 00:50:00","HUD VL","61758","851.366"
"2025/03/31 00:50:00","LONGIL","61762","1683.1805"
"2025/03/31 00:50:00","MHK VL","61756","687.7614"
"2025/03/31 00:50:00","MILLWD","61759","231.9233"
"2025/03/31 00:50:00","N.Y.C.","61761","4346.583"
"2025/03/31 00:50:00","NORTH","61755","640.7695"
"2025/03/31 00:50:00","WEST","61752","1490.0027"
"2025/03/31 00:55:00","CAPITL","61757","1115.5485"
"2025/03/31 00:55:00","CENTRL","61754","1344.8398"
"2025/03/31 00:55:00","DUNWOD","61760","518.2413"
"2025/03/31 00:55:00","GENESE","61753","857.0695"
"2025/03/31 00:55:00","HUD VL","61758","865.2325"
"2025/03/31 00:55:00","LONGIL","61762","1672.9662"
"2025/03/31 00:55:00","MHK VL","61756","709.3363"
"2025/03/31 00:55:00","MILLWD","61759","217.7204"
"2025/03/31 00:55:00","N.Y.C.","61761","4335.811"
"2025/03/31 00:55:00","NORTH","61755","634.6299"
"2025/03/31 00:55:00","WEST","61752","1496.5043"
"2025/03/31 01:00:00","CAPITL","61757","1120.4989"
"2025/03/31 01:00:00","CENTRL","61754","1315.9513"
"2025/03/31 01:00:00","DUNWOD","61760","522.5266"
"2025/03/31 01:00:00","GENESE","61753","861.6239"
"2025/03/31 01:00:00","HUD VL","61758","881.8044"
"2025/03/31 01:00:00","LONGIL","61762","1659.1003"
"2025/03/31 01:00:00","MHK VL","61756","726.7228"
"2025/03/31 01:00:00","MILLWD","61759","225.3765"
"2025/03/31 01:00:00","N.Y.C.","61761","4293.161"
"2025/03/31 01:00:00","NORTH","61755","603.7188"
"2025/03/31 01:00:00","WEST","61752","1510.0005"
"2025/03/31 01:05:00","CAPITL","61757","1107.854"
"2025/03/31 01:05:00","CENTRL","61754","1332.1105"
"2025/03/31 01:05:00","DUNWOD","61760","503.3583"
"2025/03/31 01:05:00","GENESE","61753","861.2049"
"2025/03/31 01:05:00","HUD VL","61758","854.4038"
"2025/03/31 01:05:00","LONGIL","61762","1671.7021"
"2025/03/31 01:05:00","MHK VL","61756","717.3799"
"2025/03/31 01:05:00","MILLWD","61759","219.4692"
"2025/03/31 01:05:00","N.Y.C.","61761","4289.227"
"2025/03/31 01:05:00","NORTH","61755","612.6133"
"2025/03/31 01:05:00","WEST","61752","1498.982"
"2025/03/31 01:10:00","CAPITL","61757","1073.1409"
"2025/03/31 01:10:00","CENTRL","61754","1351.1821"
"2025/03/31 01:10:00","DUNWOD","61760","506.0027"
"2025/03/31 01:10:00","GENESE","61753","855.5729"
"2025/03/31 01:10:00","HUD VL","61758","869.2667"
"2025/03/31 01:10:00","LONGIL","61762","1652.5879"
"2025/03/31 01:10:00","MHK VL","61756","705.9733"
"2025/03/31 01:10:00","MILLWD","61759","227.1741"
"2025/03/31 01:10:00","N.Y.C.","61761","4277.397"
"2025/03/31 01:10:00","NORTH","61755","619.9594"
"2025/03/31 01:10:00","WEST","61752","1488.5917"
"2025/03/31 01:15:00","CAPITL","61757","1076.4575"
"2025/03/31 01:15:00","CENTRL","61754","1324.8633"
"2025/03/31 01:15:00","DUNWOD","61760","500.0017"
"2025/03/31 01:15:00","GENESE","61753","854.4879"
"2025/03/31 01:15:00","HUD VL","61758","860.8862"
"2025/03/31 01:15:00","LONGIL","61762","1652.6504"
