"RTD End Time Stamp","Zone Name","Zone PTID","RTD Actual Load"
"2025/04/07 00:05:00","CAPITL","61757","1071.4211"
"2025/04/07 00:05:00","CENTRL","61754","1470.247"
"2025/04/07 00:05:00","DUNWOD","61760","523.5016"
"2025/04/07 00:05:00","GENESE","61753","903.4713"
"2025/04/07 00:05:00","HUD VL","61758","867.23"
"2025/04/07 00:05:00","LONGIL","61762","1700.2737"
"2025/04/07 00:05:00","MHK VL","61756","708.1165"
"2025/04/07 00:05:00","MILLWD","61759","252.8591"
"2025/04/07 00:05:00","N.Y.C.","61761","4353.6606"
"2025/04/07 00:05:00","NORTH","61755","595.9773"
"2025/04/07 00:05:00","WEST","61752","1599.1105"
"2025/04/07 00:10:00","CAPITL","61757","1090.9564"
"2025/04/07 00:10:00","CENTRL","61754","1450.1235"
"2025/04/07 00:10:00","DUNWOD","61760","529.2379"
"2025/04/07 00:10:00","GENESE","61753","903.9276"
"2025/04/07 00:10:00","HUD VL","61758","848.238"
"2025/04/07 00:10:00","LONGIL","61762","1695.7052"
"2025/04/07 00:10:00","MHK VL","61756","716.7979"
"2025/04/07 00:10:00","MILLWD","61759","262.5198"
"2025/04/07 00:10:00","N.Y.C.","61761","4348.272"
"2025/04/07 00:10:00","NORTH","61755","591.0531"
"2025/04/07 00:10:00","WEST","61752","1583.924"
"2025/04/07 00:15:00","CAPITL","61757","1071.1035"
"2025/04/07 00:15:00","CENTRL","61754","1510.406"
"2025/04/07 00:15:00","DUNWOD","61760","522.0282"
"2025/04/07 00:15:00","GENESE","61753","905.7476"
"2025/04/07 00:15:00","HUD VL","61758","862.9329"
"2025/04/07 00:15:00","LONGIL","61762","1689.1039"
"2025/04/07 00:15:00","MHK VL","61756","720.5081"
"2025/04/07 00:15:00","MILLWD","61759","255.8155"
"2025/04/07 00:15:00","N.Y.C.","61761","4373.992"
"2025/04/07 00:15:00","NORTH","61755","578.4655"
"2025/04/07 00:15:00","WEST","61752","1573.56"
"2025/04/07 00:20:00","CAPITL","61757","1052.6384"
"2025/04/07 00:20:00","CENTRL","61754","1505.4827"
