"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/23/2025 00:05:00","CAPITL",61757,28.96,0.82,0.00
"05/23/2025 00:05:00","CENTRL",61754,27.55,-0.59,0.00
"05/23/2025 00:05:00","DUNWOD",61760,29.44,1.30,0.00
"05/23/2025 00:05:00","GENESE",61753,26.79,-1.35,0.00
"05/23/2025 00:05:00","H Q",61844,28.17,0.03,0.00
"05/23/2025 00:05:00","HUD VL",61758,29.27,1.13,0.00
"05/23/2025 00:05:00","LONGIL",61762,54.22,2.03,-24.05
"05/23/2025 00:05:00","MHK VL",61756,28.34,0.20,0.00
"05/23/2025 00:05:00","MILLWD",61759,29.33,1.18,0.00
"05/23/2025 00:05:00","N.Y.C.",61761,29.47,1.38,0.05
"05/23/2025 00:05:00","NORTH",61755,28.23,0.08,0.00
"05/23/2025 00:05:00","NPX",61845,28.72,0.70,0.13
"05/23/2025 00:05:00","O H",61846,26.06,-2.08,0.00
"05/23/2025 00:05:00","PJM",61847,28.03,-0.11,0.00
"05/23/2025 00:05:00","WEST",61752,26.54,-1.60,0.00
"05/23/2025 00:10:00","CAPITL",61757,28.90,0.82,0.00
"05/23/2025 00:10:00","CENTRL",61754,27.44,-0.64,0.00
"05/23/2025 00:10:00","DUNWOD",61760,29.44,1.35,0.00
"05/23/2025 00:10:00","GENESE",61753,26.60,-1.49,0.00
"05/23/2025 00:10:00","H Q",61844,28.12,0.03,0.00
"05/23/2025 00:10:00","HUD VL",61758,29.27,1.18,0.00
"05/23/2025 00:10:00","LONGIL",61762,44.34,2.11,-14.15
"05/23/2025 00:10:00","MHK VL",61756,28.31,0.22,0.00
"05/23/2025 00:10:00","MILLWD",61759,29.32,1.23,0.00
"05/23/2025 00:10:00","N.Y.C.",61761,29.52,1.43,0.00
"05/23/2025 00:10:00","NORTH",61755,28.17,0.08,0.00
"05/23/2025 00:10:00","NPX",61845,29.58,0.70,-0.79
"05/23/2025 00:10:00","O H",61846,25.81,-2.27,0.00
"05/23/2025 00:10:00","PJM",61847,27.92,-0.17,0.00
"05/23/2025 00:10:00","WEST",61752,26.29,-1.80,0.00
"05/23/2025 00:15:00","CAPITL",61757,28.85,0.81,0.00
"05/23/2025 00:15:00","CENTRL",61754,27.22,-0.81,0.00
"05/23/2025 00:15:00","DUNWOD",61760,29.41,1.37,0.00
"05/23/2025 00:15:00","GENESE",61753,26.38,-1.65,0.00
"05/23/2025 00:15:00","H Q",61844,28.09,0.06,0.00
"05/23/2025 00:15:00","HUD VL",61758,29.24,1.20,0.00
"05/23/2025 00:15:00","LONGIL",61762,44.26,2.07,-14.15
"05/23/2025 00:15:00","MHK VL",61756,28.20,0.17,0.00
"05/23/2025 00:15:00","MILLWD",61759,29.33,1.29,0.00
"05/23/2025 00:15:00","N.Y.C.",61761,29.52,1.48,0.00
"05/23/2025 00:15:00","NORTH",61755,28.20,0.17,0.00
"05/23/2025 00:15:00","NPX",61845,29.53,0.70,-0.79
"05/23/2025 00:15:00","O H",61846,25.48,-2.55,0.00
"05/23/2025 00:15:00","PJM",61847,27.75,-0.28,0.00
"05/23/2025 00:15:00","WEST",61752,25.93,-2.10,0.00
"05/23/2025 00:20:00","CAPITL",61757,28.85,0.84,0.00
"05/23/2025 00:20:00","CENTRL",61754,27.20,-0.81,0.00
"05/23/2025 00:20:00","DUNWOD",61760,29.38,1.37,0.00
"05/23/2025 00:20:00","GENESE",61753,26.33,-1.68,0.00
"05/23/2025 00:20:00","H Q",61844,28.07,0.06,0.00
"05/23/2025 00:20:00","HUD VL",61758,29.21,1.20,0.00
"05/23/2025 00:20:00","LONGIL",61762,44.21,2.04,-14.16
"05/23/2025 00:20:00","MHK VL",61756,28.18,0.17,0.00
"05/23/2025 00:20:00","MILLWD",61759,29.30,1.29,0.00
"05/23/2025 00:20:00","N.Y.C.",61761,29.52,1.51,0.00
"05/23/2025 00:20:00","NORTH",61755,28.15,0.14,0.00
"05/23/2025 00:20:00","NPX",61845,29.55,0.73,-0.81
"05/23/2025 00:20:00","O H",61846,25.43,-2.58,0.00
"05/23/2025 00:20:00","PJM",61847,27.73,-0.28,0.00
"05/23/2025 00:20:00","WEST",61752,25.88,-2.13,0.00
