"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/26/2025 00:05:00","CAPITL",61757,88.17,2.98,0.00
"06/26/2025 00:05:00","CENTRL",61754,87.65,0.94,-1.52
"06/26/2025 00:05:00","DUNWOD",61760,91.33,6.14,0.00
"06/26/2025 00:05:00","GENESE",61753,85.36,0.17,0.00
"06/26/2025 00:05:00","H Q",61844,84.42,-0.77,0.00
"06/26/2025 00:05:00","HUD VL",61758,90.39,5.20,0.00
"06/26/2025 00:05:00","LONGIL",61762,92.47,5.80,-1.49
"06/26/2025 00:05:00","MHK VL",61756,89.25,3.32,-0.74
"06/26/2025 00:05:00","MILLWD",61759,90.81,5.62,0.00
"06/26/2025 00:05:00","N.Y.C.",61761,91.50,6.30,0.00
"06/26/2025 00:05:00","NORTH",61755,84.60,-0.59,0.00
"06/26/2025 00:05:00","NPX",61845,87.83,2.64,0.00
"06/26/2025 00:05:00","O H",61846,82.89,-2.30,0.00
"06/26/2025 00:05:00","PJM",61847,86.59,1.96,0.56
"06/26/2025 00:05:00","WEST",61752,84.77,-0.42,0.00
"06/26/2025 00:10:00","CAPITL",61757,86.37,2.76,0.00
"06/26/2025 00:10:00","CENTRL",61754,86.34,1.33,-1.40
"06/26/2025 00:10:00","DUNWOD",61760,89.21,5.60,0.00
"06/26/2025 00:10:00","GENESE",61753,84.36,0.75,0.00
"06/26/2025 00:10:00","H Q",61844,82.86,-0.75,0.00
"06/26/2025 00:10:00","HUD VL",61758,88.37,4.76,0.00
"06/26/2025 00:10:00","LONGIL",61762,89.44,5.27,-0.56
"06/26/2025 00:10:00","MHK VL",61756,87.63,3.35,-0.67
"06/26/2025 00:10:00","MILLWD",61759,88.80,5.19,0.00
"06/26/2025 00:10:00","N.Y.C.",61761,89.38,5.76,0.00
"06/26/2025 00:10:00","NORTH",61755,83.03,-0.58,0.00
"06/26/2025 00:10:00","NPX",61845,85.95,2.34,0.00
"06/26/2025 00:10:00","O H",61846,82.19,-1.42,0.00
"06/26/2025 00:10:00","PJM",61847,84.92,2.26,0.95
"06/26/2025 00:10:00","WEST",61752,84.20,0.59,0.00
"06/26/2025 00:15:00","CAPITL",61757,72.70,2.32,0.00
"06/26/2025 00:15:00","CENTRL",61754,70.90,0.50,-0.02
"06/26/2025 00:15:00","DUNWOD",61760,75.02,4.64,0.00
"06/26/2025 00:15:00","GENESE",61753,70.59,0.21,0.00
"06/26/2025 00:15:00","H Q",61844,70.03,-0.35,0.00
"06/26/2025 00:15:00","HUD VL",61758,74.32,3.94,0.00
"06/26/2025 00:15:00","LONGIL",61762,95.31,5.07,-19.86
"06/26/2025 00:15:00","MHK VL",61756,73.00,2.61,-0.01
"06/26/2025 00:15:00","MILLWD",61759,74.67,4.29,0.00
"06/26/2025 00:15:00","N.Y.C.",61761,75.10,4.72,0.00
"06/26/2025 00:15:00","NORTH",61755,70.45,0.07,0.00
"06/26/2025 00:15:00","NPX",61845,72.35,1.97,0.00
"06/26/2025 00:15:00","O H",61846,68.69,-1.69,0.00
"06/26/2025 00:15:00","PJM",61847,71.65,1.27,0.00
"06/26/2025 00:15:00","WEST",61752,70.10,-0.28,0.00
"06/26/2025 00:20:00","CAPITL",61757,74.39,2.45,0.00
"06/26/2025 00:20:00","CENTRL",61754,72.54,0.43,-0.17
"06/26/2025 00:20:00","DUNWOD",61760,76.61,4.67,0.00
"06/26/2025 00:20:00","GENESE",61753,72.08,0.14,0.00
"06/26/2025 00:20:00","H Q",61844,71.58,-0.36,0.00
"06/26/2025 00:20:00","HUD VL",61758,75.89,3.95,0.00
"06/26/2025 00:20:00","LONGIL",61762,86.34,4.96,-9.44
"06/26/2025 00:20:00","MHK VL",61756,74.61,2.59,-0.08
"06/26/2025 00:20:00","MILLWD",61759,76.26,4.32,0.00
"06/26/2025 00:20:00","N.Y.C.",61761,76.76,4.82,0.00
"06/26/2025 00:20:00","NORTH",61755,72.16,0.22,0.00
"06/26/2025 00:20:00","NPX",61845,74.03,2.09,0.00
"06/26/2025 00:20:00","O H",61846,70.00,-1.94,0.00
"06/26/2025 00:20:00","PJM",61847,73.16,1.22,0.00
"06/26/2025 00:20:00","WEST",61752,71.51,-0.43,0.00
"06/26/2025 00:25:00","CAPITL",61757,83.84,2.67,0.00
"06/26/2025 00:25:00","CENTRL",61754,82.94,0.65,-1.13
"06/26/2025 00:25:00","DUNWOD",61760,86.36,5.20,0.00
"06/26/2025 00:25:00","GENESE",61753,81.49,0.33,0.00
"06/26/2025 00:25:00","H Q",61844,80.76,-0.40,0.00
"06/26/2025 00:25:00","HUD VL",61758,85.62,4.46,0.00
"06/26/2025 00:25:00","LONGIL",61762,94.43,5.44,-7.84
"06/26/2025 00:25:00","MHK VL",61756,84.55,2.84,-0.55
"06/26/2025 00:25:00","MILLWD",61759,85.95,4.79,0.00
"06/26/2025 00:25:00","N.Y.C.",61761,86.52,5.36,0.00
"06/26/2025 00:25:00","NORTH",61755,81.49,0.33,0.00
"06/26/2025 00:25:00","NPX",61845,83.43,2.27,0.00
"06/26/2025 00:25:00","O H",61846,79.21,-1.95,0.00
"06/26/2025 00:25:00","PJM",61847,82.70,1.54,0.00
"06/26/2025 00:25:00","WEST",61752,81.00,-0.16,0.00
"06/26/2025 00:30:00","CAPITL",61757,96.04,3.16,0.00
"06/26/2025 00:30:00","CENTRL",61754,95.61,0.47,-2.26
"06/26/2025 00:30:00","DUNWOD",61760,98.91,6.03,0.00
"06/26/2025 00:30:00","GENESE",61753,92.79,-0.09,0.00
"06/26/2025 00:30:00","H Q",61844,92.51,-0.37,0.00
"06/26/2025 00:30:00","HUD VL",61758,97.99,5.11,0.00
"06/26/2025 00:30:00","LONGIL",61762,105.35,6.13,-6.34
"06/26/2025 00:30:00","MHK VL",61756,97.13,3.16,-1.09
"06/26/2025 00:30:00","MILLWD",61759,98.45,5.57,0.00
"06/26/2025 00:30:00","N.Y.C.",61761,99.10,6.22,0.00
"06/26/2025 00:30:00","NORTH",61755,93.25,0.37,0.00
"06/26/2025 00:30:00","NPX",61845,95.66,2.78,0.00
"06/26/2025 00:30:00","O H",61846,90.10,-2.78,0.00
"06/26/2025 00:30:00","PJM",61847,94.36,1.48,0.00
"06/26/2025 00:30:00","WEST",61752,92.04,-0.84,0.00
"06/26/2025 00:35:00","CAPITL",61757,96.23,3.25,0.00
"06/26/2025 00:35:00","CENTRL",61754,95.72,0.47,-2.27
"06/26/2025 00:35:00","DUNWOD",61760,98.84,5.86,0.00
"06/26/2025 00:35:00","GENESE",61753,92.79,-0.19,0.00
"06/26/2025 00:35:00","H Q",61844,92.61,-0.37,0.00
"06/26/2025 00:35:00","HUD VL",61758,98.00,5.02,0.00
"06/26/2025 00:35:00","LONGIL",61762,104.16,5.77,-5.41
"06/26/2025 00:35:00","MHK VL",61756,97.14,3.06,-1.10
"06/26/2025 00:35:00","MILLWD",61759,98.37,5.39,0.00
"06/26/2025 00:35:00","N.Y.C.",61761,99.02,6.04,0.00
"06/26/2025 00:35:00","NORTH",61755,93.35,0.37,0.00
"06/26/2025 00:35:00","NPX",61845,95.86,2.89,0.00
"06/26/2025 00:35:00","O H",61846,90.10,-2.88,0.00
"06/26/2025 00:35:00","PJM",61847,94.38,1.40,0.00
"06/26/2025 00:35:00","WEST",61752,92.14,-0.84,0.00
"06/26/2025 00:40:00","CAPITL",61757,86.44,2.92,0.00
"06/26/2025 00:40:00","CENTRL",61754,85.38,0.50,-1.35
"06/26/2025 00:40:00","DUNWOD",61760,88.79,5.26,0.00
"06/26/2025 00:40:00","GENESE",61753,83.52,0.00,0.00
"06/26/2025 00:40:00","H Q",61844,83.11,-0.42,0.00
"06/26/2025 00:40:00","HUD VL",61758,88.03,4.51,0.00
"06/26/2025 00:40:00","LONGIL",61762,95.41,4.93,-6.97
"06/26/2025 00:40:00","MHK VL",61756,87.02,2.84,-0.65
"06/26/2025 00:40:00","MILLWD",61759,88.28,4.76,0.00
"06/26/2025 00:40:00","N.Y.C.",61761,88.87,5.35,0.00
"06/26/2025 00:40:00","NORTH",61755,83.86,0.34,0.00
"06/26/2025 00:40:00","NPX",61845,86.02,2.50,0.00
"06/26/2025 00:40:00","O H",61846,81.18,-2.34,0.00
"06/26/2025 00:40:00","PJM",61847,84.85,1.33,0.00
"06/26/2025 00:40:00","WEST",61752,82.94,-0.58,0.00
"06/26/2025 00:45:00","CAPITL",61757,84.92,2.87,0.00
"06/26/2025 00:45:00","CENTRL",61754,83.84,0.58,-1.22
"06/26/2025 00:45:00","DUNWOD",61760,87.14,5.09,0.00
"06/26/2025 00:45:00","GENESE",61753,82.21,0.16,0.00
"06/26/2025 00:45:00","H Q",61844,81.64,-0.41,0.00
"06/26/2025 00:45:00","HUD VL",61758,86.48,4.43,0.00
"06/26/2025 00:45:00","LONGIL",61762,93.80,4.67,-7.08
"06/26/2025 00:45:00","MHK VL",61756,85.43,2.79,-0.59
"06/26/2025 00:45:00","MILLWD",61759,86.72,4.67,0.00
"06/26/2025 00:45:00","N.Y.C.",61761,87.30,5.26,0.00
"06/26/2025 00:45:00","NORTH",61755,82.38,0.33,0.00
"06/26/2025 00:45:00","NPX",61845,84.51,2.46,0.00
"06/26/2025 00:45:00","O H",61846,80.08,-1.97,0.00
"06/26/2025 00:45:00","PJM",61847,83.53,1.48,0.00
"06/26/2025 00:45:00","WEST",61752,81.88,-0.16,0.00
"06/26/2025 00:50:00","CAPITL",61757,75.29,2.61,0.00
"06/26/2025 00:50:00","CENTRL",61754,73.50,0.51,-0.31
"06/26/2025 00:50:00","DUNWOD",61760,77.26,4.58,0.00
"06/26/2025 00:50:00","GENESE",61753,72.82,0.15,0.00
"06/26/2025 00:50:00","H Q",61844,72.32,-0.36,0.00
"06/26/2025 00:50:00","HUD VL",61758,76.60,3.92,0.00
"06/26/2025 00:50:00","LONGIL",61762,84.41,4.07,-7.67
"06/26/2025 00:50:00","MHK VL",61756,75.30,2.47,-0.15
"06/26/2025 00:50:00","MILLWD",61759,76.89,4.21,0.00
"06/26/2025 00:50:00","N.Y.C.",61761,77.33,4.66,0.00
"06/26/2025 00:50:00","NORTH",61755,72.90,0.22,0.00
"06/26/2025 00:50:00","NPX",61845,74.86,2.18,0.00
"06/26/2025 00:50:00","O H",61846,70.86,-1.81,0.00
"06/26/2025 00:50:00","PJM",61847,74.06,1.38,0.00
"06/26/2025 00:50:00","WEST",61752,72.61,-0.07,0.00
"06/26/2025 00:55:00","CAPITL",61757,78.80,2.73,0.00
"06/26/2025 00:55:00","CENTRL",61754,77.39,0.68,-0.64
"06/26/2025 00:55:00","DUNWOD",61760,80.79,4.72,0.00
"06/26/2025 00:55:00","GENESE",61753,76.30,0.23,0.00
"06/26/2025 00:55:00","H Q",61844,75.61,-0.45,0.00
"06/26/2025 00:55:00","HUD VL",61758,80.10,4.03,0.00
