"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"06/06/2025 00:05:00","CAPITL",61757,43.50,1.31,0.00
"06/06/2025 00:05:00","CENTRL",61754,42.24,0.04,0.00
"06/06/2025 00:05:00","DUNWOD",61760,44.73,2.53,0.00
"06/06/2025 00:05:00","GENESE",61753,41.81,-0.38,0.00
"06/06/2025 00:05:00","H Q",61844,42.24,0.04,0.00
"06/06/2025 00:05:00","HUD VL",61758,44.51,2.32,0.00
"06/06/2025 00:05:00","LONGIL",61762,54.48,2.74,-9.54
"06/06/2025 00:05:00","MHK VL",61756,43.63,1.44,0.00
"06/06/2025 00:05:00","MILLWD",61759,44.51,2.32,0.00
"06/06/2025 00:05:00","N.Y.C.",61761,44.73,2.53,0.00
"06/06/2025 00:05:00","NORTH",61755,42.70,0.51,0.00
"06/06/2025 00:05:00","NPX",61845,44.56,2.36,0.00
"06/06/2025 00:05:00","O H",61846,41.01,-1.18,0.00
"06/06/2025 00:05:00","PJM",61847,42.74,0.55,0.00
"06/06/2025 00:05:00","WEST",61752,41.90,-0.29,0.00
"06/06/2025 00:10:00","CAPITL",61757,43.55,1.35,0.00
"06/06/2025 00:10:00","CENTRL",61754,42.33,0.13,0.00
"06/06/2025 00:10:00","DUNWOD",61760,44.61,2.40,0.00
"06/06/2025 00:10:00","GENESE",61753,41.86,-0.34,0.00
"06/06/2025 00:10:00","H Q",61844,42.20,0.00,0.00
"06/06/2025 00:10:00","HUD VL",61758,44.44,2.24,0.00
"06/06/2025 00:10:00","LONGIL",61762,84.61,2.57,-39.84
"06/06/2025 00:10:00","MHK VL",61756,43.68,1.48,0.00
"06/06/2025 00:10:00","MILLWD",61759,44.44,2.24,0.00
"06/06/2025 00:10:00","N.Y.C.",61761,44.65,2.45,0.00
"06/06/2025 00:10:00","NORTH",61755,42.67,0.47,0.00
"06/06/2025 00:10:00","NPX",61845,44.52,2.32,0.00
"06/06/2025 00:10:00","O H",61846,41.06,-1.14,0.00
"06/06/2025 00:10:00","PJM",61847,42.71,0.51,0.00
"06/06/2025 00:10:00","WEST",61752,41.95,-0.25,0.00
"06/06/2025 00:15:00","CAPITL",61757,313.18,2.00,-255.46
"06/06/2025 00:15:00","CENTRL",61754,55.71,0.00,0.00
"06/06/2025 00:15:00","DUNWOD",61760,75.90,2.95,-17.24
"06/06/2025 00:15:00","GENESE",61753,55.04,-0.67,0.00
"06/06/2025 00:15:00","H Q",61844,55.77,0.06,0.00
"06/06/2025 00:15:00","HUD VL",61758,77.86,2.73,-19.42
"06/06/2025 00:15:00","LONGIL",61762,115.97,3.17,-57.08
"06/06/2025 00:15:00","MHK VL",61756,65.21,1.90,-7.60
"06/06/2025 00:15:00","MILLWD",61759,75.84,2.73,-17.40
"06/06/2025 00:15:00","N.Y.C.",61761,75.79,2.84,-17.24
"06/06/2025 00:15:00","NORTH",61755,56.32,0.61,0.00
"06/06/2025 00:15:00","NPX",61845,438.39,3.34,-379.34
"06/06/2025 00:15:00","O H",61846,53.87,-1.84,0.00
"06/06/2025 00:15:00","PJM",61847,66.91,0.39,-10.81
"06/06/2025 00:15:00","WEST",61752,54.99,-0.73,0.00
"06/06/2025 00:20:00","CAPITL",61757,507.69,0.25,-500.39
"06/06/2025 00:20:00","CENTRL",61754,7.07,0.02,0.00
"06/06/2025 00:20:00","DUNWOD",61760,59.38,0.33,-52.00
"06/06/2025 00:20:00","GENESE",61753,7.03,-0.02,0.00
"06/06/2025 00:20:00","H Q",61844,7.06,0.01,0.00
"06/06/2025 00:20:00","HUD VL",61758,65.96,0.31,-58.60
"06/06/2025 00:20:00","LONGIL",61762,75.80,0.32,-68.43
"06/06/2025 00:20:00","MHK VL",61756,30.22,0.24,-22.93
"06/06/2025 00:20:00","MILLWD",61759,59.85,0.30,-52.50
"06/06/2025 00:20:00","N.Y.C.",61761,59.39,0.32,-52.02
"06/06/2025 00:20:00","NORTH",61755,7.14,0.08,0.00
"06/06/2025 00:20:00","NPX",61845,534.86,0.42,-527.39
"06/06/2025 00:20:00","O H",61846,6.91,-0.14,0.00
"06/06/2025 00:20:00","PJM",61847,39.71,0.06,-32.60
"06/06/2025 00:20:00","WEST",61752,7.05,0.00,0.00
"06/06/2025 00:25:00","CAPITL",61757,293.89,1.41,-255.46
"06/06/2025 00:25:00","CENTRL",61754,36.98,-0.04,0.00
"06/06/2025 00:25:00","DUNWOD",61760,56.10,1.85,-17.24
"06/06/2025 00:25:00","GENESE",61753,36.72,-0.30,0.00
"06/06/2025 00:25:00","H Q",61844,37.05,0.04,0.00
"06/06/2025 00:25:00","HUD VL",61758,58.22,1.78,-19.42
"06/06/2025 00:25:00","LONGIL",61762,83.86,2.07,-44.77
"06/06/2025 00:25:00","MHK VL",61756,45.77,1.15,-7.60
"06/06/2025 00:25:00","MILLWD",61759,56.16,1.74,-17.40
"06/06/2025 00:25:00","N.Y.C.",61761,56.07,1.81,-17.24
"06/06/2025 00:25:00","NORTH",61755,37.46,0.45,0.00
"06/06/2025 00:25:00","NPX",61845,455.71,2.15,-416.55
"06/06/2025 00:25:00","O H",61846,36.02,-1.00,0.00
"06/06/2025 00:25:00","PJM",61847,48.04,0.22,-10.81
"06/06/2025 00:25:00","WEST",61752,36.72,-0.30,0.00
"06/06/2025 00:30:00","CAPITL",61757,38.23,1.26,0.00
"06/06/2025 00:30:00","CENTRL",61754,37.09,0.11,0.00
"06/06/2025 00:30:00","DUNWOD",61760,38.94,1.96,0.00
"06/06/2025 00:30:00","GENESE",61753,36.64,-0.33,0.00
"06/06/2025 00:30:00","H Q",61844,37.01,0.04,0.00
"06/06/2025 00:30:00","HUD VL",61758,38.79,1.81,0.00
"06/06/2025 00:30:00","LONGIL",61762,85.95,2.29,-46.68
"06/06/2025 00:30:00","MHK VL",61756,38.20,1.22,0.00
"06/06/2025 00:30:00","MILLWD",61759,38.79,1.81,0.00
"06/06/2025 00:30:00","N.Y.C.",61761,38.93,1.96,0.00
"06/06/2025 00:30:00","NORTH",61755,37.42,0.45,0.00
"06/06/2025 00:30:00","NPX",61845,76.00,1.81,-37.21
"06/06/2025 00:30:00","O H",61846,35.94,-1.04,0.00
"06/06/2025 00:30:00","PJM",61847,37.35,0.37,0.00
"06/06/2025 00:30:00","WEST",61752,36.72,-0.26,0.00
"06/06/2025 00:35:00","CAPITL",61757,37.20,1.19,0.00
"06/06/2025 00:35:00","CENTRL",61754,36.19,0.18,0.00
"06/06/2025 00:35:00","DUNWOD",61760,37.92,1.91,0.00
"06/06/2025 00:35:00","GENESE",61753,35.76,-0.25,0.00
"06/06/2025 00:35:00","H Q",61844,36.05,0.04,0.00
"06/06/2025 00:35:00","HUD VL",61758,37.77,1.76,0.00
"06/06/2025 00:35:00","LONGIL",61762,61.00,2.23,-22.76
"06/06/2025 00:35:00","MHK VL",61756,37.24,1.23,0.00
"06/06/2025 00:35:00","MILLWD",61759,37.74,1.73,0.00
"06/06/2025 00:35:00","N.Y.C.",61761,37.92,1.91,0.00
"06/06/2025 00:35:00","NORTH",61755,36.44,0.43,0.00
"06/06/2025 00:35:00","NPX",61845,130.79,1.33,-93.45
"06/06/2025 00:35:00","O H",61846,35.11,-0.90,0.00
"06/06/2025 00:35:00","PJM",61847,36.44,0.43,0.00
"06/06/2025 00:35:00","WEST",61752,35.90,-0.11,0.00
"06/06/2025 00:40:00","CAPITL",61757,39.94,1.27,0.00
"06/06/2025 00:40:00","CENTRL",61754,38.86,0.19,0.00
"06/06/2025 00:40:00","DUNWOD",61760,40.72,2.05,0.00
"06/06/2025 00:40:00","GENESE",61753,38.44,-0.23,0.00
"06/06/2025 00:40:00","H Q",61844,38.67,0.00,0.00
"06/06/2025 00:40:00","HUD VL",61758,40.56,1.89,0.00
"06/06/2025 00:40:00","LONGIL",61762,63.83,2.40,-22.76
"06/06/2025 00:40:00","MHK VL",61756,39.98,1.32,0.00
"06/06/2025 00:40:00","MILLWD",61759,40.56,1.89,0.00
