"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"11/02/2025 00:05:00","CAPITL",61757,123.63,2.55,0.00
"11/02/2025 00:05:00","CENTRL",61754,119.87,-1.21,0.00
"11/02/2025 00:05:00","DUNWOD",61760,126.53,5.45,0.00
"11/02/2025 00:05:00","GENESE",61753,117.45,-3.63,0.00
"11/02/2025 00:05:00","H Q",61844,122.78,1.69,0.00
"11/02/2025 00:05:00","HUD VL",61758,126.28,5.20,0.00
"11/02/2025 00:05:00","LONGIL",61762,77.84,3.03,46.27
"11/02/2025 00:05:00","MHK VL",61756,124.71,3.63,0.00
"11/02/2025 00:05:00","MILLWD",61759,126.17,5.08,0.00
"11/02/2025 00:05:00","N.Y.C.",61761,126.53,5.45,0.00
"11/02/2025 00:05:00","NORTH",61755,125.20,4.12,0.00
"11/02/2025 00:05:00","NPX",61845,121.81,0.73,0.00
"11/02/2025 00:05:00","O H",61846,114.91,-6.17,0.00
"11/02/2025 00:05:00","PJM",61847,120.72,-0.36,0.00
"11/02/2025 00:05:00","WEST",61752,116.84,-4.24,0.00
"11/02/2025 00:10:00","CAPITL",61757,80.10,1.57,0.00
"11/02/2025 00:10:00","CENTRL",61754,77.90,-0.63,0.00
"11/02/2025 00:10:00","DUNWOD",61760,81.83,3.30,0.00
"11/02/2025 00:10:00","GENESE",61753,76.57,-1.96,0.00
"11/02/2025 00:10:00","H Q",61844,79.71,1.18,0.00
"11/02/2025 00:10:00","HUD VL",61758,81.68,3.14,0.00
"11/02/2025 00:10:00","LONGIL",61762,50.85,1.73,29.41
"11/02/2025 00:10:00","MHK VL",61756,80.89,2.35,0.00
"11/02/2025 00:10:00","MILLWD",61759,81.59,3.06,0.00
"11/02/2025 00:10:00","N.Y.C.",61761,81.75,3.22,0.00
"11/02/2025 00:10:00","NORTH",61755,81.28,2.75,0.00
"11/02/2025 00:10:00","NPX",61845,78.85,0.32,0.00
"11/02/2025 00:10:00","O H",61846,75.08,-3.45,0.00
"11/02/2025 00:10:00","PJM",61847,78.45,-0.08,0.00
"11/02/2025 00:10:00","WEST",61752,76.33,-2.20,0.00
"11/02/2025 00:15:00","CAPITL",61757,67.79,1.26,0.00
"11/02/2025 00:15:00","CENTRL",61754,66.39,-0.13,0.00
"11/02/2025 00:15:00","DUNWOD",61760,68.79,2.26,0.00
"11/02/2025 00:15:00","GENESE",61753,65.73,-0.80,0.00
"11/02/2025 00:15:00","H Q",61844,67.53,1.00,0.00
"11/02/2025 00:15:00","HUD VL",61758,68.79,2.26,0.00
"11/02/2025 00:15:00","LONGIL",61762,46.34,0.86,21.05
"11/02/2025 00:15:00","MHK VL",61756,68.52,1.99,0.00
"11/02/2025 00:15:00","MILLWD",61759,68.66,2.13,0.00
"11/02/2025 00:15:00","N.Y.C.",61761,68.79,2.26,0.00
"11/02/2025 00:15:00","NORTH",61755,68.99,2.46,0.00
"11/02/2025 00:15:00","NPX",61845,66.53,0.00,0.00
"11/02/2025 00:15:00","O H",61846,65.06,-1.46,0.00
"11/02/2025 00:15:00","PJM",61847,66.86,0.33,0.00
"11/02/2025 00:15:00","WEST",61752,66.13,-0.40,0.00
"11/02/2025 00:20:00","CAPITL",61757,62.58,1.29,0.00
"11/02/2025 00:20:00","CENTRL",61754,60.99,-0.30,0.00
"11/02/2025 00:20:00","DUNWOD",61760,63.49,2.20,0.00
"11/02/2025 00:20:00","GENESE",61753,60.62,-0.67,0.00
"11/02/2025 00:20:00","H Q",61844,62.15,0.86,0.00
"11/02/2025 00:20:00","HUD VL",61758,63.43,2.14,0.00
"11/02/2025 00:20:00","LONGIL",61762,44.49,0.92,17.72
"11/02/2025 00:20:00","MHK VL",61756,63.07,1.78,0.00
"11/02/2025 00:20:00","MILLWD",61759,63.38,2.09,0.00
"11/02/2025 00:20:00","N.Y.C.",61761,63.49,2.20,0.00
"11/02/2025 00:20:00","NORTH",61755,63.43,2.14,0.00
"11/02/2025 00:20:00","NPX",61845,61.35,0.06,0.00
"11/02/2025 00:20:00","O H",61846,60.06,-1.23,0.00
"11/02/2025 00:20:00","PJM",61847,61.54,0.25,0.00
"11/02/2025 00:20:00","WEST",61752,60.92,-0.37,0.00
"11/02/2025 00:25:00","CAPITL",61757,58.20,1.14,0.00
"11/02/2025 00:25:00","CENTRL",61754,56.78,-0.28,0.00
"11/02/2025 00:25:00","DUNWOD",61760,59.11,2.05,0.00
"11/02/2025 00:25:00","GENESE",61753,56.43,-0.63,0.00
"11/02/2025 00:25:00","H Q",61844,57.86,0.80,0.00
"11/02/2025 00:25:00","HUD VL",61758,59.11,2.05,0.00
"11/02/2025 00:25:00","LONGIL",61762,43.04,0.97,14.99
"11/02/2025 00:25:00","MHK VL",61756,58.72,1.66,0.00
"11/02/2025 00:25:00","MILLWD",61759,59.00,1.94,0.00
"11/02/2025 00:25:00","N.Y.C.",61761,59.11,2.05,0.00
"11/02/2025 00:25:00","NORTH",61755,59.06,2.00,0.00
"11/02/2025 00:25:00","NPX",61845,57.18,0.11,0.00
"11/02/2025 00:25:00","O H",61846,55.86,-1.20,0.00
"11/02/2025 00:25:00","PJM",61847,57.29,0.23,0.00
"11/02/2025 00:25:00","WEST",61752,56.66,-0.40,0.00
"11/02/2025 00:30:00","CAPITL",61757,57.93,1.19,0.00
"11/02/2025 00:30:00","CENTRL",61754,56.35,-0.39,0.00
"11/02/2025 00:30:00","DUNWOD",61760,58.90,2.16,0.00
"11/02/2025 00:30:00","GENESE",61753,55.95,-0.79,0.00
"11/02/2025 00:30:00","H Q",61844,57.54,0.79,0.00
"11/02/2025 00:30:00","HUD VL",61758,58.84,2.10,0.00
"11/02/2025 00:30:00","LONGIL",61762,42.89,1.08,14.93
"11/02/2025 00:30:00","MHK VL",61756,58.39,1.65,0.00
"11/02/2025 00:30:00","MILLWD",61759,58.78,2.04,0.00
"11/02/2025 00:30:00","N.Y.C.",61761,58.89,2.16,0.00
"11/02/2025 00:30:00","NORTH",61755,58.73,1.98,0.00
"11/02/2025 00:30:00","NPX",61845,56.86,0.11,0.00
"11/02/2025 00:30:00","O H",61846,55.27,-1.48,0.00
"11/02/2025 00:30:00","PJM",61847,56.85,0.11,0.00
"11/02/2025 00:30:00","WEST",61752,56.06,-0.68,0.00
"11/02/2025 00:35:00","CAPITL",61757,55.60,1.15,0.00
"11/02/2025 00:35:00","CENTRL",61754,54.02,-0.44,0.00
"11/02/2025 00:35:00","DUNWOD",61760,56.64,2.18,0.00
"11/02/2025 00:35:00","GENESE",61753,53.59,-0.87,0.00
"11/02/2025 00:35:00","H Q",61844,55.22,0.76,0.00
"11/02/2025 00:35:00","HUD VL",61758,56.53,2.07,0.00
"11/02/2025 00:35:00","LONGIL",61762,42.12,1.15,13.49
"11/02/2025 00:35:00","MHK VL",61756,56.04,1.58,0.00
