"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"01/11/2026 00:05:00","CAPITL",61757,43.92,1.77,0.00
"01/11/2026 00:05:00","CENTRL",61754,46.34,-1.56,-5.75
"01/11/2026 00:05:00","DUNWOD",61760,44.68,2.53,0.00
"01/11/2026 00:05:00","GENESE",61753,39.20,-2.95,0.00
"01/11/2026 00:05:00","H Q",61844,42.57,0.42,0.00
"01/11/2026 00:05:00","HUD VL",61758,44.34,2.19,0.00
"01/11/2026 00:05:00","LONGIL",61762,45.27,3.12,0.00
"01/11/2026 00:05:00","MHK VL",61756,42.74,0.59,0.00
"01/11/2026 00:05:00","MILLWD",61759,44.51,2.36,0.00
"01/11/2026 00:05:00","N.Y.C.",61761,44.93,2.78,0.00
"01/11/2026 00:05:00","NORTH",61755,43.20,1.05,0.00
"01/11/2026 00:05:00","NPX",61845,45.83,1.77,-1.92
"01/11/2026 00:05:00","O H",61846,26.42,-4.76,10.97
"01/11/2026 00:05:00","PJM",61847,19.32,-0.80,22.03
"01/11/2026 00:05:00","WEST",61752,25.46,-4.05,12.64
"01/11/2026 00:10:00","CAPITL",61757,41.05,1.62,0.00
"01/11/2026 00:10:00","CENTRL",61754,43.81,-1.42,-5.80
"01/11/2026 00:10:00","DUNWOD",61760,41.87,2.45,0.00
"01/11/2026 00:10:00","GENESE",61753,36.71,-2.72,0.00
"01/11/2026 00:10:00","H Q",61844,39.78,0.35,0.00
"01/11/2026 00:10:00","HUD VL",61758,41.52,2.09,0.00
"01/11/2026 00:10:00","LONGIL",61762,42.42,3.00,0.00
"01/11/2026 00:10:00","MHK VL",61756,40.02,0.59,0.00
"01/11/2026 00:10:00","MILLWD",61759,41.67,2.25,0.00
"01/11/2026 00:10:00","N.Y.C.",61761,42.15,2.72,0.00
"01/11/2026 00:10:00","NORTH",61755,40.37,0.94,0.00
"01/11/2026 00:10:00","NPX",61845,42.96,1.62,-1.92
"01/11/2026 00:10:00","O H",61846,24.33,-4.42,10.69
"01/11/2026 00:10:00","PJM",61847,16.80,-0.67,21.96
"01/11/2026 00:10:00","WEST",61752,23.34,-3.75,12.34
"01/11/2026 00:15:00","CAPITL",61757,41.85,1.69,0.00
"01/11/2026 00:15:00","CENTRL",61754,44.52,-1.49,-5.84
"01/11/2026 00:15:00","DUNWOD",61760,42.69,2.53,0.00
"01/11/2026 00:15:00","GENESE",61753,37.31,-2.85,0.00
"01/11/2026 00:15:00","H Q",61844,40.52,0.36,0.00
"01/11/2026 00:15:00","HUD VL",61758,42.29,2.13,0.00
"01/11/2026 00:15:00","LONGIL",61762,43.26,3.09,0.00
"01/11/2026 00:15:00","MHK VL",61756,40.72,0.56,0.00
"01/11/2026 00:15:00","MILLWD",61759,42.49,2.33,0.00
"01/11/2026 00:15:00","N.Y.C.",61761,42.93,2.77,0.00
"01/11/2026 00:15:00","NORTH",61755,41.13,0.96,0.00
"01/11/2026 00:15:00","NPX",61845,43.77,1.69,-1.92
"01/11/2026 00:15:00","O H",61846,24.79,-4.62,10.75
"01/11/2026 00:15:00","PJM",61847,17.51,-0.68,21.97
"01/11/2026 00:15:00","WEST",61752,23.85,-3.90,12.42
"01/11/2026 00:20:00","CAPITL",61757,41.08,1.66,0.00
"01/11/2026 00:20:00","CENTRL",61754,43.90,-1.34,-5.81
"01/11/2026 00:20:00","DUNWOD",61760,41.83,2.41,0.00
"01/11/2026 00:20:00","GENESE",61753,36.71,-2.72,0.00
"01/11/2026 00:20:00","H Q",61844,39.74,0.31,0.00
"01/11/2026 00:20:00","HUD VL",61758,41.48,2.05,0.00
"01/11/2026 00:20:00","LONGIL",61762,42.39,2.96,0.00
"01/11/2026 00:20:00","MHK VL",61756,40.02,0.59,0.00
"01/11/2026 00:20:00","MILLWD",61759,41.67,2.25,0.00
"01/11/2026 00:20:00","N.Y.C.",61761,42.11,2.68,0.00
"01/11/2026 00:20:00","NORTH",61755,40.30,0.87,0.00
"01/11/2026 00:20:00","NPX",61845,47.33,1.66,-6.24
"01/11/2026 00:20:00","O H",61846,24.31,-4.42,10.70
"01/11/2026 00:20:00","PJM",61847,16.91,-0.63,21.89
"01/11/2026 00:20:00","WEST",61752,23.37,-3.71,12.36
"01/11/2026 00:25:00","CAPITL",61757,41.08,1.69,0.00
"01/11/2026 00:25:00","CENTRL",61754,43.82,-1.38,-5.81
"01/11/2026 00:25:00","DUNWOD",61760,41.84,2.44,0.00
"01/11/2026 00:25:00","GENESE",61753,36.63,-2.76,0.00
"01/11/2026 00:25:00","H Q",61844,39.71,0.31,0.00
"01/11/2026 00:25:00","HUD VL",61758,41.48,2.09,0.00
"01/11/2026 00:25:00","LONGIL",61762,42.35,2.96,0.00
"01/11/2026 00:25:00","MHK VL",61756,39.94,0.55,0.00
"01/11/2026 00:25:00","MILLWD",61759,41.64,2.24,0.00
"01/11/2026 00:25:00","N.Y.C.",61761,42.07,2.68,0.00
"01/11/2026 00:25:00","NORTH",61755,40.22,0.83,0.00
"01/11/2026 00:25:00","NPX",61845,47.33,1.69,-6.24
"01/11/2026 00:25:00","O H",61846,24.29,-4.41,10.69
"01/11/2026 00:25:00","PJM",61847,16.87,-0.63,21.89
"01/11/2026 00:25:00","WEST",61752,23.34,-3.70,12.35
