"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"05/24/2025 00:05:00","CAPITL",61757,24.82,0.51,0.00
"05/24/2025 00:05:00","CENTRL",61754,25.33,-0.83,-1.85
"05/24/2025 00:05:00","DUNWOD",61760,25.45,1.14,0.00
"05/24/2025 00:05:00","GENESE",61753,22.70,-1.61,0.00
"05/24/2025 00:05:00","H Q",61844,24.45,0.15,0.00
"05/24/2025 00:05:00","HUD VL",61758,25.28,0.97,0.00
"05/24/2025 00:05:00","LONGIL",61762,42.63,1.60,-16.72
"05/24/2025 00:05:00","MHK VL",61756,24.57,0.27,0.00
"05/24/2025 00:05:00","MILLWD",61759,25.33,1.02,0.00
"05/24/2025 00:05:00","N.Y.C.",61761,25.55,1.24,0.00
"05/24/2025 00:05:00","NORTH",61755,24.65,0.34,0.00
"05/24/2025 00:05:00","NPX",61845,24.57,0.27,0.00
"05/24/2025 00:05:00","O H",61846,18.51,-2.41,3.39
"05/24/2025 00:05:00","PJM",61847,23.03,-0.41,0.86
"05/24/2025 00:05:00","WEST",61752,18.48,-2.04,3.78
"05/24/2025 00:10:00","CAPITL",61757,24.75,0.51,0.00
"05/24/2025 00:10:00","CENTRL",61754,27.20,-0.90,-3.86
"05/24/2025 00:10:00","DUNWOD",61760,25.43,1.19,0.00
"05/24/2025 00:10:00","GENESE",61753,22.61,-1.62,0.00
"05/24/2025 00:10:00","H Q",61844,24.38,0.15,0.00
"05/24/2025 00:10:00","HUD VL",61758,25.26,1.02,0.00
"05/24/2025 00:10:00","LONGIL",61762,45.32,1.60,-19.48
"05/24/2025 00:10:00","MHK VL",61756,24.51,0.27,0.00
"05/24/2025 00:10:00","MILLWD",61759,25.30,1.07,0.00
"05/24/2025 00:10:00","N.Y.C.",61761,25.50,1.26,0.00
"05/24/2025 00:10:00","NORTH",61755,24.58,0.34,0.00
"05/24/2025 00:10:00","NPX",61845,24.51,0.27,0.00
"05/24/2025 00:10:00","O H",61846,14.64,-2.42,7.18
"05/24/2025 00:10:00","PJM",61847,22.00,-0.41,1.82
"05/24/2025 00:10:00","WEST",61752,14.15,-2.06,8.03
"05/24/2025 00:15:00","CAPITL",61757,21.06,0.45,0.00
"05/24/2025 00:15:00","CENTRL",61754,21.05,-0.76,-1.21
"05/24/2025 00:15:00","DUNWOD",61760,21.59,0.99,0.00
"05/24/2025 00:15:00","GENESE",61753,19.20,-1.40,0.00
"05/24/2025 00:15:00","H Q",61844,20.73,0.12,0.00
"05/24/2025 00:15:00","HUD VL",61758,21.45,0.85,0.00
"05/24/2025 00:15:00","LONGIL",61762,43.51,1.32,-21.58
"05/24/2025 00:15:00","MHK VL",61756,20.83,0.23,0.00
"05/24/2025 00:15:00","MILLWD",61759,21.49,0.89,0.00
"05/24/2025 00:15:00","N.Y.C.",61761,21.67,1.07,0.00
"05/24/2025 00:15:00","NORTH",61755,20.87,0.27,0.00
"05/24/2025 00:15:00","NPX",61845,20.85,0.25,0.00
"05/24/2025 00:15:00","O H",61846,16.28,-2.08,2.24
"05/24/2025 00:15:00","PJM",61847,19.68,-0.35,0.57
"05/24/2025 00:15:00","WEST",61752,16.32,-1.77,2.51
"05/24/2025 00:20:00","CAPITL",61757,24.54,0.53,0.00
"05/24/2025 00:20:00","CENTRL",61754,26.99,-0.86,-3.84
"05/24/2025 00:20:00","DUNWOD",61760,25.14,1.13,0.00
"05/24/2025 00:20:00","GENESE",61753,22.41,-1.61,0.00
"05/24/2025 00:20:00","H Q",61844,24.16,0.14,0.00
"05/24/2025 00:20:00","HUD VL",61758,24.98,0.96,0.00
"05/24/2025 00:20:00","LONGIL",61762,46.22,1.51,-20.69
"05/24/2025 00:20:00","MHK VL",61756,24.28,0.26,0.00
"05/24/2025 00:20:00","MILLWD",61759,25.02,1.01,0.00
"05/24/2025 00:20:00","N.Y.C.",61761,25.21,1.20,0.00
"05/24/2025 00:20:00","NORTH",61755,24.38,0.36,0.00
"05/24/2025 00:20:00","NPX",61845,24.28,0.26,0.00
"05/24/2025 00:20:00","O H",61846,14.47,-2.40,7.14
"05/24/2025 00:20:00","PJM",61847,21.77,-0.43,1.81
"05/24/2025 00:20:00","WEST",61752,13.96,-2.07,7.99
"05/24/2025 00:25:00","CAPITL",61757,24.59,0.55,0.00
"05/24/2025 00:25:00","CENTRL",61754,27.07,-0.82,-3.85
"05/24/2025 00:25:00","DUNWOD",61760,25.14,1.11,0.00
"05/24/2025 00:25:00","GENESE",61753,22.43,-1.61,0.00
"05/24/2025 00:25:00","H Q",61844,24.18,0.15,0.00
"05/24/2025 00:25:00","HUD VL",61758,24.97,0.94,0.00
"05/24/2025 00:25:00","LONGIL",61762,46.22,1.49,-20.69
"05/24/2025 00:25:00","MHK VL",61756,24.30,0.26,0.00
"05/24/2025 00:25:00","MILLWD",61759,25.02,0.99,0.00
"05/24/2025 00:25:00","N.Y.C.",61761,25.21,1.18,0.00
"05/24/2025 00:25:00","NORTH",61755,24.37,0.34,0.00
"05/24/2025 00:25:00","NPX",61845,24.30,0.26,0.00
"05/24/2025 00:25:00","O H",61846,14.50,-2.38,7.16
"05/24/2025 00:25:00","PJM",61847,21.81,-0.41,1.82
"05/24/2025 00:25:00","WEST",61752,14.00,-2.02,8.01
"05/24/2025 00:30:00","CAPITL",61757,24.87,0.53,0.00
"05/24/2025 00:30:00","CENTRL",61754,27.21,-0.85,-3.73
"05/24/2025 00:30:00","DUNWOD",61760,25.43,1.10,0.00
"05/24/2025 00:30:00","GENESE",61753,22.70,-1.63,0.00
"05/24/2025 00:30:00","H Q",61844,24.48,0.15,0.00
"05/24/2025 00:30:00","HUD VL",61758,25.28,0.95,0.00
"05/24/2025 00:30:00","LONGIL",61762,45.32,1.51,-19.48
"05/24/2025 00:30:00","MHK VL",61756,24.58,0.24,0.00
"05/24/2025 00:30:00","MILLWD",61759,25.31,0.97,0.00
"05/24/2025 00:30:00","N.Y.C.",61761,25.45,1.12,0.00
"05/24/2025 00:30:00","NORTH",61755,24.67,0.34,0.00
"05/24/2025 00:30:00","NPX",61845,24.63,0.29,0.00
"05/24/2025 00:30:00","O H",61846,14.71,-2.41,7.21
"05/24/2025 00:30:00","PJM",61847,22.10,-0.41,1.82
"05/24/2025 00:30:00","WEST",61752,14.21,-2.04,8.08
"05/24/2025 00:35:00","CAPITL",61757,24.92,0.56,0.00
"05/24/2025 00:35:00","CENTRL",61754,27.46,-0.85,-3.96
"05/24/2025 00:35:00","DUNWOD",61760,25.43,1.07,0.00
"05/24/2025 00:35:00","GENESE",61753,22.72,-1.63,0.00
"05/24/2025 00:35:00","H Q",61844,24.50,0.15,0.00
"05/24/2025 00:35:00","HUD VL",61758,25.28,0.93,0.00
"05/24/2025 00:35:00","LONGIL",61762,42.78,1.49,-16.94
"05/24/2025 00:35:00","MHK VL",61756,24.60,0.24,0.00
"05/24/2025 00:35:00","MILLWD",61759,25.33,0.98,0.00
"05/24/2025 00:35:00","N.Y.C.",61761,25.45,1.10,0.00
"05/24/2025 00:35:00","NORTH",61755,24.70,0.34,0.00
"05/24/2025 00:35:00","NPX",61845,24.70,0.34,0.00
"05/24/2025 00:35:00","O H",61846,14.28,-2.41,7.66
"05/24/2025 00:35:00","PJM",61847,21.99,-0.44,1.93
"05/24/2025 00:35:00","WEST",61752,13.73,-2.05,8.58
"05/24/2025 00:40:00","CAPITL",61757,24.89,0.56,0.00
"05/24/2025 00:40:00","CENTRL",61754,27.21,-0.85,-3.73
"05/24/2025 00:40:00","DUNWOD",61760,25.43,1.10,0.00
"05/24/2025 00:40:00","GENESE",61753,22.70,-1.63,0.00
"05/24/2025 00:40:00","H Q",61844,24.48,0.15,0.00
"05/24/2025 00:40:00","HUD VL",61758,25.26,0.92,0.00
"05/24/2025 00:40:00","LONGIL",61762,59.26,1.53,-33.40
"05/24/2025 00:40:00","MHK VL",61756,24.58,0.24,0.00
"05/24/2025 00:40:00","MILLWD",61759,25.31,0.97,0.00
"05/24/2025 00:40:00","N.Y.C.",61761,25.43,1.10,0.00
"05/24/2025 00:40:00","NORTH",61755,24.67,0.34,0.00
"05/24/2025 00:40:00","NPX",61845,24.67,0.34,0.00
"05/24/2025 00:40:00","O H",61846,14.70,-2.41,7.22
"05/24/2025 00:40:00","PJM",61847,22.10,-0.41,1.82
"05/24/2025 00:40:00","WEST",61752,14.21,-2.04,8.08
"05/24/2025 00:45:00","CAPITL",61757,24.84,0.53,0.00
"05/24/2025 00:45:00","CENTRL",61754,27.31,-0.87,-3.88
"05/24/2025 00:45:00","DUNWOD",61760,25.40,1.09,0.00
"05/24/2025 00:45:00","GENESE",61753,22.68,-1.63,0.00
"05/24/2025 00:45:00","H Q",61844,24.45,0.15,0.00
"05/24/2025 00:45:00","HUD VL",61758,25.25,0.95,0.00
"05/24/2025 00:45:00","LONGIL",61762,45.32,1.53,-19.48
"05/24/2025 00:45:00","MHK VL",61756,24.55,0.24,0.00
"05/24/2025 00:45:00","MILLWD",61759,25.28,0.97,0.00
"05/24/2025 00:45:00","N.Y.C.",61761,25.43,1.12,0.00
"05/24/2025 00:45:00","NORTH",61755,24.65,0.34,0.00
"05/24/2025 00:45:00","NPX",61845,24.65,0.34,0.00
"05/24/2025 00:45:00","O H",61846,14.67,-2.43,7.21
"05/24/2025 00:45:00","PJM",61847,22.04,-0.44,1.83
"05/24/2025 00:45:00","WEST",61752,14.15,-2.09,8.07
"05/24/2025 00:50:00","CAPITL",61757,24.79,0.53,0.00
"05/24/2025 00:50:00","CENTRL",61754,27.20,-0.92,-3.86
"05/24/2025 00:50:00","DUNWOD",61760,25.40,1.14,0.00
"05/24/2025 00:50:00","GENESE",61753,22.59,-1.67,0.00
"05/24/2025 00:50:00","H Q",61844,24.41,0.15,0.00
"05/24/2025 00:50:00","HUD VL",61758,25.23,0.97,0.00
