Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/26/2025 00:00,CENTRAL EAST - VC,23330,620.91,2760,-9999
09/26/2025 00:00,DYSINGER EAST,23326,139.23,2850,-9999
09/26/2025 00:00,MOSES SOUTH,23319,-549.11,3000,-1600
09/26/2025 00:00,SCH - HQ - NY,23324,-846,1500,-900
09/26/2025 00:00,SCH - HQ_CEDARS,325274,39,40,0
09/26/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-846,1310,-9999
09/26/2025 00:00,SCH - NE - NY,23318,33.29,700,-1600
09/26/2025 00:00,SCH - NPX_1385,325277,0,0,0
09/26/2025 00:00,SCH - NPX_CSC,325154,330,330,-330
09/26/2025 00:00,SCH - OH - NY,23317,633.64,1950,-1400
09/26/2025 00:00,SCH - PJ - NY,23316,763.31,2000,-1050
09/26/2025 00:00,SCH - PJM_HTP,325905,480,660,-660
09/26/2025 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/26/2025 00:00,SCH - PJM_VFT,325658,233,315,-315
09/26/2025 00:00,SPR/DUN-SOUTH,23320,2172.97,4600,-9999
09/26/2025 00:00,TOTAL EAST,23314,925.99,7550,-9999
09/26/2025 00:00,UPNY CONED,23315,3027.31,6240,-9999
09/26/2025 00:00,WEST CENTRAL,23312,-262.44,9999,-9999
09/26/2025 00:05,CENTRAL EAST - VC,23330,658,2760,-9999
09/26/2025 00:05,DYSINGER EAST,23326,261.64,2850,-9999
09/26/2025 00:05,MOSES SOUTH,23319,-590.15,3000,-1600
09/26/2025 00:05,SCH - HQ - NY,23324,-865,1500,-900
09/26/2025 00:05,SCH - HQ_CEDARS,325274,37,40,0
09/26/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,-865,1310,-9999
09/26/2025 00:05,SCH - NE - NY,23318,159.98,700,-1600
09/26/2025 00:05,SCH - NPX_1385,325277,0,0,0
09/26/2025 00:05,SCH - NPX_CSC,325154,330,330,-330
09/26/2025 00:05,SCH - OH - NY,23317,820.02,1950,-1400
09/26/2025 00:05,SCH - PJ - NY,23316,843.24,2000,-1050
09/26/2025 00:05,SCH - PJM_HTP,325905,300,660,-660
09/26/2025 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/26/2025 00:05,SCH - PJM_VFT,325658,238,315,-315
09/26/2025 00:05,SPR/DUN-SOUTH,23320,2356.16,4600,-9999
09/26/2025 00:05,TOTAL EAST,23314,1111.44,7550,-9999
09/26/2025 00:05,UPNY CONED,23315,3242.06,6240,-9999
09/26/2025 00:05,WEST CENTRAL,23312,-137.57,9999,-9999
09/26/2025 00:10,CENTRAL EAST - VC,23330,582.76,2760,-9999
09/26/2025 00:10,DYSINGER EAST,23326,173.35,2850,-9999
09/26/2025 00:10,MOSES SOUTH,23319,-556.62,3000,-1600
09/26/2025 00:10,SCH - HQ - NY,23324,-865,1500,-900
09/26/2025 00:10,SCH - HQ_CEDARS,325274,38,40,0
09/26/2025 00:10,SCH - HQ_IMPORT_EXPORT,325376,-865,1310,-9999
09/26/2025 00:10,SCH - NE - NY,23318,160.56,700,-1600
09/26/2025 00:10,SCH - NPX_1385,325277,0,0,0
09/26/2025 00:10,SCH - NPX_CSC,325154,330,330,-330
09/26/2025 00:10,SCH - OH - NY,23317,820.1,1950,-1400
09/26/2025 00:10,SCH - PJ - NY,23316,842.87,2000,-1050
09/26/2025 00:10,SCH - PJM_HTP,325905,300,660,-660
09/26/2025 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
09/26/2025 00:10,SCH - PJM_VFT,325658,238,315,-315
09/26/2025 00:10,SPR/DUN-SOUTH,23320,2275.8,4600,-9999
09/26/2025 00:10,TOTAL EAST,23314,1160.91,7550,-9999
09/26/2025 00:10,UPNY CONED,23315,3183.92,6240,-9999
09/26/2025 00:10,WEST CENTRAL,23312,-224.27,9999,-9999
09/26/2025 00:15,CENTRAL EAST - VC,23330,554.53,2760,-9999
09/26/2025 00:15,DYSINGER EAST,23326,75.3,2850,-9999
09/26/2025 00:15,MOSES SOUTH,23319,-600.95,3000,-1600
09/26/2025 00:15,SCH - HQ - NY,23324,-865,1500,-900
