Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
02/02/2024 00:00,CENTRAL EAST - VC,23330,1730.16,3030,-9999
02/02/2024 00:00,DYSINGER EAST,23326,1194.28,3200,-9999
02/02/2024 00:00,MOSES SOUTH,23319,-679.98,3000,-1600
02/02/2024 00:00,SCH - HQ - NY,23324,-980,1500,-980
02/02/2024 00:00,SCH - HQ_CEDARS,325274,-85,279,-85
02/02/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,-980,1310,-9999
02/02/2024 00:00,SCH - NE - NY,23318,-1520.44,1400,-1800
02/02/2024 00:00,SCH - NPX_1385,325277,-37,200,-200
02/02/2024 00:00,SCH - NPX_CSC,325154,101,330,-330
02/02/2024 00:00,SCH - OH - NY,23317,1164.55,2050,-1900
02/02/2024 00:00,SCH - PJ - NY,23316,1496.53,2400,-2400
02/02/2024 00:00,SCH - PJM_HTP,325905,630,660,-660
02/02/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
02/02/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
02/02/2024 00:00,SPR/DUN-SOUTH,23320,947.74,4600,-9999
02/02/2024 00:00,TOTAL EAST,23314,2940.07,7550,-9999
02/02/2024 00:00,UPNY CONED,23315,2091.47,6255,-9999
02/02/2024 00:00,WEST CENTRAL,23312,807.98,9999,-9999
02/02/2024 00:05,CENTRAL EAST - VC,23330,1752.09,3030,-9999
02/02/2024 00:05,DYSINGER EAST,23326,1043.09,3200,-9999
02/02/2024 00:05,MOSES SOUTH,23319,-701.02,3000,-1600
02/02/2024 00:05,SCH - HQ - NY,23324,-980,1500,-980
02/02/2024 00:05,SCH - HQ_CEDARS,325274,-85,279,-85
02/02/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,-980,1310,-9999
02/02/2024 00:05,SCH - NE - NY,23318,-1522.13,1400,-1800
02/02/2024 00:05,SCH - NPX_1385,325277,-24,200,-200
02/02/2024 00:05,SCH - NPX_CSC,325154,0,330,-330
02/02/2024 00:05,SCH - OH - NY,23317,1057.21,2050,-1900
02/02/2024 00:05,SCH - PJ - NY,23316,1704.21,2400,-2400
02/02/2024 00:05,SCH - PJM_HTP,325905,660,660,-660
02/02/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
02/02/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
02/02/2024 00:05,SPR/DUN-SOUTH,23320,889.2,4600,-9999
02/02/2024 00:05,TOTAL EAST,23314,2964.54,7550,-9999
02/02/2024 00:05,UPNY CONED,23315,2129.35,6255,-9999
02/02/2024 00:05,WEST CENTRAL,23312,661.44,9999,-9999
02/02/2024 00:10,CENTRAL EAST - VC,23330,1772.76,3030,-9999
02/02/2024 00:10,DYSINGER EAST,23326,1084.69,3200,-9999
02/02/2024 00:10,MOSES SOUTH,23319,-673.06,3000,-1600
02/02/2024 00:10,SCH - HQ - NY,23324,-980,1500,-980
02/02/2024 00:10,SCH - HQ_CEDARS,325274,-85,279,-85
02/02/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,-980,1310,-9999
02/02/2024 00:10,SCH - NE - NY,23318,-1521.62,1400,-1800
02/02/2024 00:10,SCH - NPX_1385,325277,-24,200,-200
02/02/2024 00:10,SCH - NPX_CSC,325154,0,330,-330
02/02/2024 00:10,SCH - OH - NY,23317,1057.69,2050,-1900
02/02/2024 00:10,SCH - PJ - NY,23316,1700.89,2400,-2400
02/02/2024 00:10,SCH - PJM_HTP,325905,660,660,-660
02/02/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
02/02/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
02/02/2024 00:10,SPR/DUN-SOUTH,23320,871.16,4600,-9999
02/02/2024 00:10,TOTAL EAST,23314,2962.05,7550,-9999
02/02/2024 00:10,UPNY CONED,23315,2100.74,6255,-9999
02/02/2024 00:10,WEST CENTRAL,23312,700.3,9999,-9999
02/02/2024 00:15,CENTRAL EAST - VC,23330,1723.5,3030,-9999
02/02/2024 00:15,DYSINGER EAST,23326,1202.1,3200,-9999
02/02/2024 00:15,MOSES SOUTH,23319,-710.27,3000,-1600
02/02/2024 00:15,SCH - HQ - NY,23324,-980,1500,-980
02/02/2024 00:15,SCH - HQ_CEDARS,325274,-85,279,-85
02/02/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,-980,1310,-9999
02/02/2024 00:15,SCH - NE - NY,23318,-1521.81,1400,-1800
02/02/2024 00:15,SCH - NPX_1385,325277,-24,200,-200
02/02/2024 00:15,SCH - NPX_CSC,325154,0,330,-330
02/02/2024 00:15,SCH - OH - NY,23317,1059.18,2050,-1900
02/02/2024 00:15,SCH - PJ - NY,23316,1700.06,2400,-2400
02/02/2024 00:15,SCH - PJM_HTP,325905,660,660,-660
02/02/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
