Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
05/01/2024 00:00,CENTRAL EAST - VC,23330,1323.97,2925,-9999
05/01/2024 00:00,DYSINGER EAST,23326,-35.58,3050,-9999
05/01/2024 00:00,MOSES SOUTH,23319,143.8,2850,-1600
05/01/2024 00:00,SCH - HQ - NY,23324,-187,1400,-200
05/01/2024 00:00,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,-187,1310,-9999
05/01/2024 00:00,SCH - NE - NY,23318,-790.64,500,-1100
05/01/2024 00:00,SCH - NPX_1385,325277,-19,100,-100
05/01/2024 00:00,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:00,SCH - OH - NY,23317,25.06,1500,-1000
05/01/2024 00:00,SCH - PJ - NY,23316,775.78,2200,-1200
05/01/2024 00:00,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:00,SCH - PJM_VFT,325658,295,315,-315
05/01/2024 00:00,SPR/DUN-SOUTH,23320,810.92,4600,-9999
05/01/2024 00:00,TOTAL EAST,23314,1878.97,7550,-9999
05/01/2024 00:00,UPNY CONED,23315,1926.54,5960,-9999
05/01/2024 00:00,WEST CENTRAL,23312,-307.78,9999,-9999
05/01/2024 00:05,CENTRAL EAST - VC,23330,1446.32,2830,-9999
05/01/2024 00:05,DYSINGER EAST,23326,77.9,3050,-9999
05/01/2024 00:05,MOSES SOUTH,23319,150.81,2850,-1600
05/01/2024 00:05,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:05,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:05,SCH - NE - NY,23318,-703.42,500,-1100
05/01/2024 00:05,SCH - NPX_1385,325277,-17,100,-100
05/01/2024 00:05,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:05,SCH - OH - NY,23317,45.19,1500,-1000
05/01/2024 00:05,SCH - PJ - NY,23316,961.37,2200,-1200
05/01/2024 00:05,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:05,SCH - PJM_VFT,325658,275,315,-315
05/01/2024 00:05,SPR/DUN-SOUTH,23320,955.18,4600,-9999
05/01/2024 00:05,TOTAL EAST,23314,2057.93,7550,-9999
05/01/2024 00:05,UPNY CONED,23315,2059.92,5960,-9999
05/01/2024 00:05,WEST CENTRAL,23312,-192.55,9999,-9999
05/01/2024 00:10,CENTRAL EAST - VC,23330,1409.32,2830,-9999
05/01/2024 00:10,DYSINGER EAST,23326,105.49,3050,-9999
05/01/2024 00:10,MOSES SOUTH,23319,165.71,2850,-1600
05/01/2024 00:10,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:10,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:10,SCH - NE - NY,23318,-700.23,500,-1100
05/01/2024 00:10,SCH - NPX_1385,325277,-17,100,-100
05/01/2024 00:10,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:10,SCH - OH - NY,23317,49.21,1500,-1000
05/01/2024 00:10,SCH - PJ - NY,23316,954.07,2200,-1200
05/01/2024 00:10,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:10,SCH - PJM_VFT,325658,275,315,-315
05/01/2024 00:10,SPR/DUN-SOUTH,23320,912.49,4600,-9999
05/01/2024 00:10,TOTAL EAST,23314,2017.88,7550,-9999
05/01/2024 00:10,UPNY CONED,23315,2013.21,5960,-9999
05/01/2024 00:10,WEST CENTRAL,23312,-162.76,9999,-9999
05/01/2024 00:15,CENTRAL EAST - VC,23330,1334.53,2830,-9999
05/01/2024 00:15,DYSINGER EAST,23326,120.99,3050,-9999
05/01/2024 00:15,MOSES SOUTH,23319,183.69,2850,-1600
05/01/2024 00:15,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:15,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:15,SCH - NE - NY,23318,-701.75,500,-1100
05/01/2024 00:15,SCH - NPX_1385,325277,-17,100,-100
05/01/2024 00:15,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:15,SCH - OH - NY,23317,52.46,1500,-1000
05/01/2024 00:15,SCH - PJ - NY,23316,950.65,2200,-1200
05/01/2024 00:15,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:15,SCH - PJM_VFT,325658,275,315,-315
05/01/2024 00:15,SPR/DUN-SOUTH,23320,842.45,4600,-9999
05/01/2024 00:15,TOTAL EAST,23314,1968.95,7550,-9999
05/01/2024 00:15,UPNY CONED,23315,1909.71,5960,-9999
05/01/2024 00:15,WEST CENTRAL,23312,-146.69,9999,-9999
05/01/2024 00:20,CENTRAL EAST - VC,23330,1272.26,2830,-9999
05/01/2024 00:20,DYSINGER EAST,23326,111.51,3050,-9999
05/01/2024 00:20,MOSES SOUTH,23319,189.12,2850,-1600
05/01/2024 00:20,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:20,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:20,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:20,SCH - NE - NY,23318,-701.33,500,-1100
05/01/2024 00:20,SCH - NPX_1385,325277,-17,100,-100
05/01/2024 00:20,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:20,SCH - OH - NY,23317,52.97,1500,-1000
05/01/2024 00:20,SCH - PJ - NY,23316,952.26,2200,-1200
05/01/2024 00:20,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:20,SCH - PJM_VFT,325658,275,315,-315
05/01/2024 00:20,SPR/DUN-SOUTH,23320,815.62,4600,-9999
05/01/2024 00:20,TOTAL EAST,23314,1972.54,7550,-9999
05/01/2024 00:20,UPNY CONED,23315,1873.39,5960,-9999
05/01/2024 00:20,WEST CENTRAL,23312,-153.66,9999,-9999
05/01/2024 00:25,CENTRAL EAST - VC,23330,1281.63,2830,-9999
05/01/2024 00:25,DYSINGER EAST,23326,100.43,3050,-9999
05/01/2024 00:25,MOSES SOUTH,23319,173.59,2850,-1600
05/01/2024 00:25,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:25,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:25,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:25,SCH - NE - NY,23318,-702.2,500,-1100
05/01/2024 00:25,SCH - NPX_1385,325277,-17,100,-100
05/01/2024 00:25,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:25,SCH - OH - NY,23317,48.16,1500,-1000
05/01/2024 00:25,SCH - PJ - NY,23316,957.17,2200,-1200
05/01/2024 00:25,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:25,SCH - PJM_VFT,325658,275,315,-315
05/01/2024 00:25,SPR/DUN-SOUTH,23320,823.18,4600,-9999
05/01/2024 00:25,TOTAL EAST,23314,1948.26,7550,-9999
05/01/2024 00:25,UPNY CONED,23315,1873.08,5960,-9999
05/01/2024 00:25,WEST CENTRAL,23312,-163.68,9999,-9999
05/01/2024 00:30,CENTRAL EAST - VC,23330,1322.24,2830,-9999
05/01/2024 00:30,DYSINGER EAST,23326,123.38,3050,-9999
05/01/2024 00:30,MOSES SOUTH,23319,187.01,2850,-1600
05/01/2024 00:30,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:30,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:30,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:30,SCH - NE - NY,23318,-703.74,500,-1100
05/01/2024 00:30,SCH - NPX_1385,325277,-17,100,-100
05/01/2024 00:30,SCH - NPX_CSC,325154,0,0,0
05/01/2024 00:30,SCH - OH - NY,23317,50.79,1500,-1000
05/01/2024 00:30,SCH - PJ - NY,23316,954.53,2200,-1200
05/01/2024 00:30,SCH - PJM_HTP,325905,200,660,-660
05/01/2024 00:30,SCH - PJM_NEPTUNE,325305,660,660,-660
05/01/2024 00:30,SCH - PJM_VFT,325658,275,315,-315
05/01/2024 00:30,SPR/DUN-SOUTH,23320,845.5,4600,-9999
05/01/2024 00:30,TOTAL EAST,23314,1965.73,7550,-9999
05/01/2024 00:30,UPNY CONED,23315,1896.5,5960,-9999
05/01/2024 00:30,WEST CENTRAL,23312,-136.35,9999,-9999
05/01/2024 00:35,CENTRAL EAST - VC,23330,1349.7,2830,-9999
05/01/2024 00:35,DYSINGER EAST,23326,98.88,3050,-9999
05/01/2024 00:35,MOSES SOUTH,23319,157.01,2850,-1600
05/01/2024 00:35,SCH - HQ - NY,23324,-199,1400,-200
05/01/2024 00:35,SCH - HQ_CEDARS,325274,0,240,0
05/01/2024 00:35,SCH - HQ_IMPORT_EXPORT,325376,-199,1310,-9999
05/01/2024 00:35,SCH - NE - NY,23318,-703.04,500,-1100
