Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
02/06/2025 00:00,CENTRAL EAST - VC,23330,2360.21,3015,-9999
02/06/2025 00:00,DYSINGER EAST,23326,1177.44,3200,-9999
02/06/2025 00:00,MOSES SOUTH,23319,110.82,2650,-1600
02/06/2025 00:00,SCH - HQ - NY,23324,-102,1450,-980
02/06/2025 00:00,SCH - HQ_CEDARS,325274,0,200,-100
02/06/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-235,1310,-9999
02/06/2025 00:00,SCH - NE - NY,23318,-1528.99,1400,-1800
02/06/2025 00:00,SCH - NPX_1385,325277,-28,200,-200
02/06/2025 00:00,SCH - NPX_CSC,325154,0,330,-330
02/06/2025 00:00,SCH - OH - NY,23317,1585.28,2200,-1850
02/06/2025 00:00,SCH - PJ - NY,23316,2104.96,2400,-2400
02/06/2025 00:00,SCH - PJM_HTP,325905,300,660,-660
02/06/2025 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
02/06/2025 00:00,SCH - PJM_VFT,325658,315,315,-315
02/06/2025 00:00,SPR/DUN-SOUTH,23320,1047.45,4600,-9999
02/06/2025 00:00,TOTAL EAST,23314,4607.81,7550,-9999
02/06/2025 00:00,UPNY CONED,23315,2576.22,6550,-9999
02/06/2025 00:00,WEST CENTRAL,23312,666.05,9999,-9999
02/06/2025 00:05,CENTRAL EAST - VC,23330,2466.05,3015,-9999
02/06/2025 00:05,DYSINGER EAST,23326,1060.89,3200,-9999
02/06/2025 00:05,MOSES SOUTH,23319,325.63,2650,-1600
02/06/2025 00:05,SCH - HQ - NY,23324,131,1450,-980
02/06/2025 00:05,SCH - HQ_CEDARS,325274,0,200,-100
02/06/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,131,1310,-9999
02/06/2025 00:05,SCH - NE - NY,23318,-1601.44,1400,-1800
02/06/2025 00:05,SCH - NPX_1385,325277,3,200,-200
02/06/2025 00:05,SCH - NPX_CSC,325154,0,330,-330
02/06/2025 00:05,SCH - OH - NY,23317,1600.3,2200,-1850
02/06/2025 00:05,SCH - PJ - NY,23316,2105.85,2400,-2400
02/06/2025 00:05,SCH - PJM_HTP,325905,300,660,-660
02/06/2025 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
02/06/2025 00:05,SCH - PJM_VFT,325658,315,315,-315
02/06/2025 00:05,SPR/DUN-SOUTH,23320,1111.69,4600,-9999
02/06/2025 00:05,TOTAL EAST,23314,4766.9,7550,-9999
02/06/2025 00:05,UPNY CONED,23315,2609.94,6550,-9999
02/06/2025 00:05,WEST CENTRAL,23312,558.91,9999,-9999
02/06/2025 00:10,CENTRAL EAST - VC,23330,2464.85,3015,-9999
02/06/2025 00:10,DYSINGER EAST,23326,1054.06,3200,-9999
02/06/2025 00:10,MOSES SOUTH,23319,264.34,2650,-1600
02/06/2025 00:10,SCH - HQ - NY,23324,131,1450,-980
02/06/2025 00:10,SCH - HQ_CEDARS,325274,0,200,-100
02/06/2025 00:10,SCH - HQ_IMPORT_EXPORT,325376,131,1310,-9999
02/06/2025 00:10,SCH - NE - NY,23318,-1600.88,1400,-1800
02/06/2025 00:10,SCH - NPX_1385,325277,3,200,-200
02/06/2025 00:10,SCH - NPX_CSC,325154,0,330,-330
02/06/2025 00:10,SCH - OH - NY,23317,1600.38,2200,-1850
02/06/2025 00:10,SCH - PJ - NY,23316,2106.2,2400,-2400
02/06/2025 00:10,SCH - PJM_HTP,325905,300,660,-660
02/06/2025 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
02/06/2025 00:10,SCH - PJM_VFT,325658,315,315,-315
02/06/2025 00:10,SPR/DUN-SOUTH,23320,1136.49,4600,-9999
02/06/2025 00:10,TOTAL EAST,23314,4758.25,7550,-9999
