Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
12/24/2024 00:00,CENTRAL EAST - VC,23330,2930.02,3130,-9999
12/24/2024 00:00,DYSINGER EAST,23326,1668.66,3200,-9999
12/24/2024 00:00,MOSES SOUTH,23319,176.73,2650,-1600
12/24/2024 00:00,SCH - HQ - NY,23324,187,1100,-980
12/24/2024 00:00,SCH - HQ_CEDARS,325274,0,279,-100
12/24/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,187,1310,-9999
12/24/2024 00:00,SCH - NE - NY,23318,-957.2,1400,-1800
12/24/2024 00:00,SCH - NPX_1385,325277,57,200,-200
12/24/2024 00:00,SCH - NPX_CSC,325154,0,330,-330
12/24/2024 00:00,SCH - OH - NY,23317,1600.18,2200,-1850
12/24/2024 00:00,SCH - PJ - NY,23316,1206.09,1500,-2400
12/24/2024 00:00,SCH - PJM_HTP,325905,100,660,-660
12/24/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
12/24/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
12/24/2024 00:00,SPR/DUN-SOUTH,23320,2164.44,4600,-9999
12/24/2024 00:00,TOTAL EAST,23314,4837.64,7550,-9999
12/24/2024 00:00,UPNY CONED,23315,3535.17,6720,-9999
12/24/2024 00:00,WEST CENTRAL,23312,1195.85,9999,-9999
12/24/2024 00:05,CENTRAL EAST - VC,23330,2945.43,3130,-9999
12/24/2024 00:05,DYSINGER EAST,23326,1808.49,3200,-9999
12/24/2024 00:05,MOSES SOUTH,23319,87.94,2650,-1600
12/24/2024 00:05,SCH - HQ - NY,23324,124,1100,-980
12/24/2024 00:05,SCH - HQ_CEDARS,325274,0,279,-100
12/24/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,124,1310,-9999
12/24/2024 00:05,SCH - NE - NY,23318,-1107.41,1400,-1800
12/24/2024 00:05,SCH - NPX_1385,325277,0,200,-200
12/24/2024 00:05,SCH - NPX_CSC,325154,0,330,-330
12/24/2024 00:05,SCH - OH - NY,23317,1600.11,2200,-1850
12/24/2024 00:05,SCH - PJ - NY,23316,1205.2,1500,-2400
12/24/2024 00:05,SCH - PJM_HTP,325905,100,660,-660
12/24/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
12/24/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
12/24/2024 00:05,SPR/DUN-SOUTH,23320,2113.83,4600,-9999
12/24/2024 00:05,TOTAL EAST,23314,4867.69,7550,-9999
12/24/2024 00:05,UPNY CONED,23315,3468.96,6720,-9999
12/24/2024 00:05,WEST CENTRAL,23312,1326.32,9999,-9999
12/24/2024 00:10,CENTRAL EAST - VC,23330,2876.2,3090,-9999
12/24/2024 00:10,DYSINGER EAST,23326,1665.34,3200,-9999
12/24/2024 00:10,MOSES SOUTH,23319,82.6,2650,-1600
12/24/2024 00:10,SCH - HQ - NY,23324,124,1100,-980
12/24/2024 00:10,SCH - HQ_CEDARS,325274,0,279,-100
12/24/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,124,1310,-9999
12/24/2024 00:10,SCH - NE - NY,23318,-1107.29,1400,-1800
12/24/2024 00:10,SCH - NPX_1385,325277,0,200,-200
12/24/2024 00:10,SCH - NPX_CSC,325154,0,330,-330
12/24/2024 00:10,SCH - OH - NY,23317,1600.25,2200,-1850
12/24/2024 00:10,SCH - PJ - NY,23316,1207.21,1500,-2400
12/24/2024 00:10,SCH - PJM_HTP,325905,100,660,-660
12/24/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
12/24/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
12/24/2024 00:10,SPR/DUN-SOUTH,23320,2095.17,4600,-9999
12/24/2024 00:10,TOTAL EAST,23314,4831.01,7550,-9999
12/24/2024 00:10,UPNY CONED,23315,3409.9,6720,-9999
12/24/2024 00:10,WEST CENTRAL,23312,1196.47,9999,-9999
12/24/2024 00:15,CENTRAL EAST - VC,23330,2831.32,3090,-9999
12/24/2024 00:15,DYSINGER EAST,23326,1570.39,3200,-9999
12/24/2024 00:15,MOSES SOUTH,23319,13.63,2650,-1600
12/24/2024 00:15,SCH - HQ - NY,23324,124,1100,-980
12/24/2024 00:15,SCH - HQ_CEDARS,325274,0,279,-100
12/24/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,124,1310,-9999
12/24/2024 00:15,SCH - NE - NY,23318,-1233.37,1400,-1800
12/24/2024 00:15,SCH - NPX_1385,325277,0,200,-200
12/24/2024 00:15,SCH - NPX_CSC,325154,0,330,-330
12/24/2024 00:15,SCH - OH - NY,23317,1600.56,2200,-1850
12/24/2024 00:15,SCH - PJ - NY,23316,1206.03,1500,-2400
12/24/2024 00:15,SCH - PJM_HTP,325905,100,660,-660
12/24/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
12/24/2024 00:15,SCH - PJM_VFT,325658,315,315,-315
12/24/2024 00:15,SPR/DUN-SOUTH,23320,2040,4600,-9999
12/24/2024 00:15,TOTAL EAST,23314,4872.04,7550,-9999
12/24/2024 00:15,UPNY CONED,23315,3291.48,6720,-9999
12/24/2024 00:15,WEST CENTRAL,23312,1118.21,9999,-9999
12/24/2024 00:20,CENTRAL EAST - VC,23330,2845.06,3090,-9999
12/24/2024 00:20,DYSINGER EAST,23326,1647.44,3200,-9999
12/24/2024 00:20,MOSES SOUTH,23319,-19.34,2650,-1600
12/24/2024 00:20,SCH - HQ - NY,23324,124,1100,-980
12/24/2024 00:20,SCH - HQ_CEDARS,325274,0,279,-100
12/24/2024 00:20,SCH - HQ_IMPORT_EXPORT,325376,124,1310,-9999
12/24/2024 00:20,SCH - NE - NY,23318,-1359.44,1400,-1800
12/24/2024 00:20,SCH - NPX_1385,325277,0,200,-200
12/24/2024 00:20,SCH - NPX_CSC,325154,0,330,-330
12/24/2024 00:20,SCH - OH - NY,23317,1600.59,2200,-1850
12/24/2024 00:20,SCH - PJ - NY,23316,1206.89,1500,-2400
12/24/2024 00:20,SCH - PJM_HTP,325905,100,660,-660
12/24/2024 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
12/24/2024 00:20,SCH - PJM_VFT,325658,315,315,-315
12/24/2024 00:20,SPR/DUN-SOUTH,23320,2020.7,4600,-9999
12/24/2024 00:20,TOTAL EAST,23314,4959.05,7550,-9999
12/24/2024 00:20,UPNY CONED,23315,3244.72,6720,-9999
12/24/2024 00:20,WEST CENTRAL,23312,1191.98,9999,-9999
12/24/2024 00:25,CENTRAL EAST - VC,23330,2861.68,3090,-9999
12/24/2024 00:25,DYSINGER EAST,23326,1706.35,3200,-9999
12/24/2024 00:25,MOSES SOUTH,23319,-18.9,2650,-1600
12/24/2024 00:25,SCH - HQ - NY,23324,124,1100,-980
12/24/2024 00:25,SCH - HQ_CEDARS,325274,0,279,-100
12/24/2024 00:25,SCH - HQ_IMPORT_EXPORT,325376,124,1310,-9999
12/24/2024 00:25,SCH - NE - NY,23318,-1359.47,1400,-1800
12/24/2024 00:25,SCH - NPX_1385,325277,0,200,-200
12/24/2024 00:25,SCH - NPX_CSC,325154,0,330,-330
