Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
09/16/2024 00:00,CENTRAL EAST - VC,23330,1035.99,2565,-9999
09/16/2024 00:00,DYSINGER EAST,23326,799.2,3200,-9999
09/16/2024 00:00,MOSES SOUTH,23319,92.72,3000,-1600
09/16/2024 00:00,SCH - HQ - NY,23324,-250,1400,-300
09/16/2024 00:00,SCH - HQ_CEDARS,325274,0,200,0
09/16/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,-250,1310,-9999
09/16/2024 00:00,SCH - NE - NY,23318,-914.91,1400,-1600
09/16/2024 00:00,SCH - NPX_1385,325277,1,200,-200
09/16/2024 00:00,SCH - NPX_CSC,325154,280,330,-330
09/16/2024 00:00,SCH - OH - NY,23317,1380.65,2000,-1600
09/16/2024 00:00,SCH - PJ - NY,23316,1336.91,2000,-1000
09/16/2024 00:00,SCH - PJM_HTP,325905,350,660,-660
09/16/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
09/16/2024 00:00,SPR/DUN-SOUTH,23320,1587.35,4350,-9999
09/16/2024 00:00,TOTAL EAST,23314,2196.34,7550,-9999
09/16/2024 00:00,UPNY CONED,23315,2638,5905,-9999
09/16/2024 00:00,WEST CENTRAL,23312,350.2,9999,-9999
09/16/2024 00:05,CENTRAL EAST - VC,23330,985.03,2485,-9999
09/16/2024 00:05,DYSINGER EAST,23326,805.56,3200,-9999
09/16/2024 00:05,MOSES SOUTH,23319,63.05,3000,-1600
09/16/2024 00:05,SCH - HQ - NY,23324,-300,1400,-300
09/16/2024 00:05,SCH - HQ_CEDARS,325274,0,200,0
09/16/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,-300,1310,-9999
09/16/2024 00:05,SCH - NE - NY,23318,-802.47,1400,-1600
09/16/2024 00:05,SCH - NPX_1385,325277,1,200,-200
09/16/2024 00:05,SCH - NPX_CSC,325154,280,330,-330
09/16/2024 00:05,SCH - OH - NY,23317,1400.63,2000,-1600
09/16/2024 00:05,SCH - PJ - NY,23316,1323.73,2000,-1000
09/16/2024 00:05,SCH - PJM_HTP,325905,350,660,-660
09/16/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
09/16/2024 00:05,SPR/DUN-SOUTH,23320,1619.01,4350,-9999
09/16/2024 00:05,TOTAL EAST,23314,2129.69,7550,-9999
09/16/2024 00:05,UPNY CONED,23315,2693.23,5905,-9999
09/16/2024 00:05,WEST CENTRAL,23312,361.51,9999,-9999
09/16/2024 00:10,CENTRAL EAST - VC,23330,928.92,2485,-9999
09/16/2024 00:10,DYSINGER EAST,23326,834.86,3200,-9999
09/16/2024 00:10,MOSES SOUTH,23319,69.15,3000,-1600
09/16/2024 00:10,SCH - HQ - NY,23324,-300,1400,-300
09/16/2024 00:10,SCH - HQ_CEDARS,325274,0,200,0
09/16/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,-300,1310,-9999
09/16/2024 00:10,SCH - NE - NY,23318,-803.7,1400,-1600
09/16/2024 00:10,SCH - NPX_1385,325277,1,200,-200
09/16/2024 00:10,SCH - NPX_CSC,325154,280,330,-330
09/16/2024 00:10,SCH - OH - NY,23317,1400.54,2000,-1600
09/16/2024 00:10,SCH - PJ - NY,23316,1324.4,2000,-1000
09/16/2024 00:10,SCH - PJM_HTP,325905,350,660,-660
09/16/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
09/16/2024 00:10,SPR/DUN-SOUTH,23320,1581.9,4350,-9999
09/16/2024 00:10,TOTAL EAST,23314,2117.41,7550,-9999
09/16/2024 00:10,UPNY CONED,23315,2657.65,5905,-9999
09/16/2024 00:10,WEST CENTRAL,23312,396.51,9999,-9999
09/16/2024 00:15,CENTRAL EAST - VC,23330,914.41,2485,-9999
09/16/2024 00:15,DYSINGER EAST,23326,827.05,3200,-9999
09/16/2024 00:15,MOSES SOUTH,23319,56.62,3000,-1600
09/16/2024 00:15,SCH - HQ - NY,23324,-300,1400,-300
09/16/2024 00:15,SCH - HQ_CEDARS,325274,0,200,0
09/16/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,-300,1310,-9999
09/16/2024 00:15,SCH - NE - NY,23318,-812.38,1400,-1600
09/16/2024 00:15,SCH - NPX_1385,325277,1,200,-200
09/16/2024 00:15,SCH - NPX_CSC,325154,280,330,-330
09/16/2024 00:15,SCH - OH - NY,23317,1400.52,2000,-1600
09/16/2024 00:15,SCH - PJ - NY,23316,1323.86,2000,-1000
09/16/2024 00:15,SCH - PJM_HTP,325905,350,660,-660
09/16/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2024 00:15,SCH - PJM_VFT,325658,315,315,-315
09/16/2024 00:15,SPR/DUN-SOUTH,23320,1541.75,4350,-9999
09/16/2024 00:15,TOTAL EAST,23314,2025.57,7550,-9999
09/16/2024 00:15,UPNY CONED,23315,2596.88,5905,-9999
09/16/2024 00:15,WEST CENTRAL,23312,391.64,9999,-9999
09/16/2024 00:20,CENTRAL EAST - VC,23330,910.42,2485,-9999
09/16/2024 00:20,DYSINGER EAST,23326,870.26,3200,-9999
09/16/2024 00:20,MOSES SOUTH,23319,66.74,3000,-1600
09/16/2024 00:20,SCH - HQ - NY,23324,-300,1400,-300
09/16/2024 00:20,SCH - HQ_CEDARS,325274,0,200,0
09/16/2024 00:20,SCH - HQ_IMPORT_EXPORT,325376,-300,1310,-9999
09/16/2024 00:20,SCH - NE - NY,23318,-821.32,1400,-1600
09/16/2024 00:20,SCH - NPX_1385,325277,1,200,-200
09/16/2024 00:20,SCH - NPX_CSC,325154,280,330,-330
09/16/2024 00:20,SCH - OH - NY,23317,1400.44,2000,-1600
09/16/2024 00:20,SCH - PJ - NY,23316,1324.67,2000,-1000
09/16/2024 00:20,SCH - PJM_HTP,325905,350,660,-660
09/16/2024 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
09/16/2024 00:20,SCH - PJM_VFT,325658,315,315,-315
09/16/2024 00:20,SPR/DUN-SOUTH,23320,1549.31,4350,-9999
09/16/2024 00:20,TOTAL EAST,23314,2073.08,7550,-9999
09/16/2024 00:20,UPNY CONED,23315,2631.05,5905,-9999
09/16/2024 00:20,WEST CENTRAL,23312,439.31,9999,-9999
09/16/2024 00:25,CENTRAL EAST - VC,23330,928.07,2485,-9999
09/16/2024 00:25,DYSINGER EAST,23326,898.28,3200,-9999
09/16/2024 00:25,MOSES SOUTH,23319,96.63,3000,-1600
09/16/2024 00:25,SCH - HQ - NY,23324,-300,1400,-300
09/16/2024 00:25,SCH - HQ_CEDARS,325274,0,200,0
09/16/2024 00:25,SCH - HQ_IMPORT_EXPORT,325376,-300,1310,-9999
09/16/2024 00:25,SCH - NE - NY,23318,-821.26,1400,-1600
09/16/2024 00:25,SCH - NPX_1385,325277,1,200,-200
09/16/2024 00:25,SCH - NPX_CSC,325154,280,330,-330
09/16/2024 00:25,SCH - OH - NY,23317,1400.39,2000,-1600
09/16/2024 00:25,SCH - PJ - NY,23316,1324.73,2000,-1000
09/16/2024 00:25,SCH - PJM_HTP,325905,350,660,-660
09/16/2024 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
