Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
11/29/2024 00:00,CENTRAL EAST - VC,23330,1850.77,2405,-9999
11/29/2024 00:00,DYSINGER EAST,23326,733.89,3200,-9999
11/29/2024 00:00,MOSES SOUTH,23319,3.73,900,-1100
11/29/2024 00:00,SCH - HQ - NY,23324,0,0,0
11/29/2024 00:00,SCH - HQ_CEDARS,325274,0,90,0
11/29/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
11/29/2024 00:00,SCH - NE - NY,23318,-689.53,1400,-1800
11/29/2024 00:00,SCH - NPX_1385,325277,33,200,-200
11/29/2024 00:00,SCH - NPX_CSC,325154,0,330,-330
11/29/2024 00:00,SCH - OH - NY,23317,543.79,1150,-1000
11/29/2024 00:00,SCH - PJ - NY,23316,2107.25,2400,-2400
11/29/2024 00:00,SCH - PJM_HTP,325905,300,660,-660
11/29/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
11/29/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
11/29/2024 00:00,SPR/DUN-SOUTH,23320,1510.26,4600,-9999
11/29/2024 00:00,TOTAL EAST,23314,3753,7550,-9999
11/29/2024 00:00,UPNY CONED,23315,2727.73,6255,-9999
11/29/2024 00:00,WEST CENTRAL,23312,415.44,9999,-9999
11/29/2024 00:05,CENTRAL EAST - VC,23330,1838.99,2295,-9999
11/29/2024 00:05,DYSINGER EAST,23326,654.56,3200,-9999
11/29/2024 00:05,MOSES SOUTH,23319,26.17,900,-1100
11/29/2024 00:05,SCH - HQ - NY,23324,0,0,0
11/29/2024 00:05,SCH - HQ_CEDARS,325274,0,90,0
11/29/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
11/29/2024 00:05,SCH - NE - NY,23318,-640.61,1400,-1800
11/29/2024 00:05,SCH - NPX_1385,325277,-16,200,-200
11/29/2024 00:05,SCH - NPX_CSC,325154,0,330,-330
11/29/2024 00:05,SCH - OH - NY,23317,549.68,1150,-1000
11/29/2024 00:05,SCH - PJ - NY,23316,2107.84,2400,-2400
11/29/2024 00:05,SCH - PJM_HTP,325905,300,660,-660
11/29/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
11/29/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
11/29/2024 00:05,SPR/DUN-SOUTH,23320,1488.55,4600,-9999
11/29/2024 00:05,TOTAL EAST,23314,3712.18,7550,-9999
11/29/2024 00:05,UPNY CONED,23315,2736.79,6255,-9999
11/29/2024 00:05,WEST CENTRAL,23312,340.1,9999,-9999
11/29/2024 00:10,CENTRAL EAST - VC,23330,1781.45,2295,-9999
11/29/2024 00:10,DYSINGER EAST,23326,728.83,3200,-9999
11/29/2024 00:10,MOSES SOUTH,23319,-19.28,900,-1100
11/29/2024 00:10,SCH - HQ - NY,23324,0,0,0
11/29/2024 00:10,SCH - HQ_CEDARS,325274,0,90,0
11/29/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
11/29/2024 00:10,SCH - NE - NY,23318,-637.38,1400,-1800
11/29/2024 00:10,SCH - NPX_1385,325277,-15,200,-200
11/29/2024 00:10,SCH - NPX_CSC,325154,0,330,-330
11/29/2024 00:10,SCH - OH - NY,23317,549.72,1150,-1000
11/29/2024 00:10,SCH - PJ - NY,23316,2101.36,2400,-2400
11/29/2024 00:10,SCH - PJM_HTP,325905,300,660,-660
11/29/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
11/29/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
11/29/2024 00:10,SPR/DUN-SOUTH,23320,1462.58,4600,-9999
11/29/2024 00:10,TOTAL EAST,23314,3689.32,7550,-9999
11/29/2024 00:10,UPNY CONED,23315,2704.24,6255,-9999
11/29/2024 00:10,WEST CENTRAL,23312,416.67,9999,-9999
11/29/2024 00:15,CENTRAL EAST - VC,23330,1801.11,2295,-9999
11/29/2024 00:15,DYSINGER EAST,23326,918.6,3200,-9999
11/29/2024 00:15,MOSES SOUTH,23319,-12.45,900,-1100
11/29/2024 00:15,SCH - HQ - NY,23324,0,0,0
11/29/2024 00:15,SCH - HQ_CEDARS,325274,0,90,0
11/29/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
11/29/2024 00:15,SCH - NE - NY,23318,-679.34,1400,-1800
11/29/2024 00:15,SCH - NPX_1385,325277,-15,200,-200
11/29/2024 00:15,SCH - NPX_CSC,325154,0,330,-330
11/29/2024 00:15,SCH - OH - NY,23317,549.86,1150,-1000
11/29/2024 00:15,SCH - PJ - NY,23316,2103.1,2400,-2400
11/29/2024 00:15,SCH - PJM_HTP,325905,300,660,-660
