Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
06/14/2025 00:00,CENTRAL EAST - VC,23330,1031.21,3025,-9999
06/14/2025 00:00,DYSINGER EAST,23326,284.44,3200,-9999
06/14/2025 00:00,MOSES SOUTH,23319,-713.05,3150,-1600
06/14/2025 00:00,SCH - HQ - NY,23324,-887,1050,-950
06/14/2025 00:00,SCH - HQ_CEDARS,325274,-19,270,-40
06/14/2025 00:00,SCH - HQ_IMPORT_EXPORT,325376,-887,1310,-9999
06/14/2025 00:00,SCH - NE - NY,23318,-110,1400,-1600
06/14/2025 00:00,SCH - NPX_1385,325277,105,125,-125
06/14/2025 00:00,SCH - NPX_CSC,325154,330,330,-330
06/14/2025 00:00,SCH - OH - NY,23317,1049.37,2000,-1600
06/14/2025 00:00,SCH - PJ - NY,23316,495.22,2000,-1050
06/14/2025 00:00,SCH - PJM_HTP,325905,660,660,-660
06/14/2025 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
06/14/2025 00:00,SCH - PJM_VFT,325658,270,315,-315
06/14/2025 00:00,SPR/DUN-SOUTH,23320,1714.07,4600,-9999
06/14/2025 00:00,TOTAL EAST,23314,1848.54,7550,-9999
06/14/2025 00:00,UPNY CONED,23315,2965.18,6255,-9999
06/14/2025 00:00,WEST CENTRAL,23312,20.36,9999,-9999
06/14/2025 00:05,CENTRAL EAST - VC,23330,1143.35,2900,-9999
06/14/2025 00:05,DYSINGER EAST,23326,263.43,3200,-9999
06/14/2025 00:05,MOSES SOUTH,23319,-639.32,3150,-1600
06/14/2025 00:05,SCH - HQ - NY,23324,-825,1050,-950
06/14/2025 00:05,SCH - HQ_CEDARS,325274,0,270,-40
06/14/2025 00:05,SCH - HQ_IMPORT_EXPORT,325376,-825,1310,-9999
06/14/2025 00:05,SCH - NE - NY,23318,-255.65,1400,-1600
06/14/2025 00:05,SCH - NPX_1385,325277,90,125,-125
06/14/2025 00:05,SCH - NPX_CSC,325154,330,330,-330
06/14/2025 00:05,SCH - OH - NY,23317,1079.4,2000,-1600
06/14/2025 00:05,SCH - PJ - NY,23316,732.69,2000,-1050
06/14/2025 00:05,SCH - PJM_HTP,325905,660,660,-660
06/14/2025 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
