Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
10/14/2024 00:00,CENTRAL EAST - VC,23330,1023.31,2560,-9999
10/14/2024 00:00,DYSINGER EAST,23326,648.49,3200,-9999
10/14/2024 00:00,MOSES SOUTH,23319,-638.99,3000,-1600
10/14/2024 00:00,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:00,SCH - HQ_CEDARS,325274,0,240,0
10/14/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,-778,1310,-9999
10/14/2024 00:00,SCH - NE - NY,23318,-672.24,500,-1000
10/14/2024 00:00,SCH - NPX_1385,325277,1,200,-200
10/14/2024 00:00,SCH - NPX_CSC,325154,0,0,0
10/14/2024 00:00,SCH - OH - NY,23317,1068.7,2000,-1600
10/14/2024 00:00,SCH - PJ - NY,23316,1432.83,2000,-1000
10/14/2024 00:00,SCH - PJM_HTP,325905,300,660,-660
10/14/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
10/14/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
10/14/2024 00:00,SPR/DUN-SOUTH,23320,1584.17,4350,-9999
10/14/2024 00:00,TOTAL EAST,23314,2348.36,7550,-9999
10/14/2024 00:00,UPNY CONED,23315,2351.68,5295,-9999
10/14/2024 00:00,WEST CENTRAL,23312,-208.77,9999,-9999
10/14/2024 00:05,CENTRAL EAST - VC,23330,993.94,2560,-9999
10/14/2024 00:05,DYSINGER EAST,23326,580.95,3200,-9999
10/14/2024 00:05,MOSES SOUTH,23319,-655.81,3000,-1600
10/14/2024 00:05,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:05,SCH - HQ_CEDARS,325274,0,240,0
10/14/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,-778,1310,-9999
10/14/2024 00:05,SCH - NE - NY,23318,-542.21,500,-1000
10/14/2024 00:05,SCH - NPX_1385,325277,1,200,-200
10/14/2024 00:05,SCH - NPX_CSC,325154,0,0,0
10/14/2024 00:05,SCH - OH - NY,23317,1042.74,2000,-1600
10/14/2024 00:05,SCH - PJ - NY,23316,1413.26,2000,-1000
10/14/2024 00:05,SCH - PJM_HTP,325905,300,660,-660
10/14/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
10/14/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
10/14/2024 00:05,SPR/DUN-SOUTH,23320,1668.08,4350,-9999
10/14/2024 00:05,TOTAL EAST,23314,2285.69,7550,-9999
10/14/2024 00:05,UPNY CONED,23315,2451.2,5295,-9999
10/14/2024 00:05,WEST CENTRAL,23312,-274.76,9999,-9999
10/14/2024 00:10,CENTRAL EAST - VC,23330,984,2560,-9999
10/14/2024 00:10,DYSINGER EAST,23326,648.7,3200,-9999
10/14/2024 00:10,MOSES SOUTH,23319,-631.05,3000,-1600
10/14/2024 00:10,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:10,SCH - HQ_CEDARS,325274,0,240,0
10/14/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,-778,1310,-9999
10/14/2024 00:10,SCH - NE - NY,23318,-538.66,500,-1000
10/14/2024 00:10,SCH - NPX_1385,325277,1,200,-200
10/14/2024 00:10,SCH - NPX_CSC,325154,0,0,0
10/14/2024 00:10,SCH - OH - NY,23317,1042.67,2000,-1600
10/14/2024 00:10,SCH - PJ - NY,23316,1408.53,2000,-1000
10/14/2024 00:10,SCH - PJM_HTP,325905,300,660,-660
10/14/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
10/14/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
10/14/2024 00:10,SPR/DUN-SOUTH,23320,1673.99,4350,-9999
10/14/2024 00:10,TOTAL EAST,23314,2273.89,7550,-9999
10/14/2024 00:10,UPNY CONED,23315,2468.53,5295,-9999
10/14/2024 00:10,WEST CENTRAL,23312,-203.34,9999,-9999
10/14/2024 00:15,CENTRAL EAST - VC,23330,948.89,2560,-9999
10/14/2024 00:15,DYSINGER EAST,23326,661.57,3200,-9999
10/14/2024 00:15,MOSES SOUTH,23319,-630.24,3000,-1600
10/14/2024 00:15,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:15,SCH - HQ_CEDARS,325274,0,240,0
10/14/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,-778,1310,-9999
10/14/2024 00:15,SCH - NE - NY,23318,-555.1,500,-1000
10/14/2024 00:15,SCH - NPX_1385,325277,1,200,-200
10/14/2024 00:15,SCH - NPX_CSC,325154,0,0,0
10/14/2024 00:15,SCH - OH - NY,23317,1042.68,2000,-1600
10/14/2024 00:15,SCH - PJ - NY,23316,1409.35,2000,-1000
10/14/2024 00:15,SCH - PJM_HTP,325905,300,660,-660
10/14/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
10/14/2024 00:15,SCH - PJM_VFT,325658,315,315,-315
10/14/2024 00:15,SPR/DUN-SOUTH,23320,1636.51,4350,-9999
10/14/2024 00:15,TOTAL EAST,23314,2269.39,7550,-9999
10/14/2024 00:15,UPNY CONED,23315,2432.69,5295,-9999
10/14/2024 00:15,WEST CENTRAL,23312,-188.46,9999,-9999
10/14/2024 00:20,CENTRAL EAST - VC,23330,960.48,2560,-9999
10/14/2024 00:20,DYSINGER EAST,23326,688.5,3200,-9999
10/14/2024 00:20,MOSES SOUTH,23319,-641.34,3000,-1600
10/14/2024 00:20,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:20,SCH - HQ_CEDARS,325274,0,240,0
10/14/2024 00:20,SCH - HQ_IMPORT_EXPORT,325376,-778,1310,-9999
10/14/2024 00:20,SCH - NE - NY,23318,-572.11,500,-1000
10/14/2024 00:20,SCH - NPX_1385,325277,1,200,-200
10/14/2024 00:20,SCH - NPX_CSC,325154,0,0,0
10/14/2024 00:20,SCH - OH - NY,23317,1042.67,2000,-1600
10/14/2024 00:20,SCH - PJ - NY,23316,1406.38,2000,-1000
10/14/2024 00:20,SCH - PJM_HTP,325905,300,660,-660
10/14/2024 00:20,SCH - PJM_NEPTUNE,325305,660,660,-660
10/14/2024 00:20,SCH - PJM_VFT,325658,315,315,-315
10/14/2024 00:20,SPR/DUN-SOUTH,23320,1616.27,4350,-9999
10/14/2024 00:20,TOTAL EAST,23314,2264.18,7550,-9999
10/14/2024 00:20,UPNY CONED,23315,2417.27,5295,-9999
10/14/2024 00:20,WEST CENTRAL,23312,-159.6,9999,-9999
10/14/2024 00:25,CENTRAL EAST - VC,23330,906.74,2560,-9999
10/14/2024 00:25,DYSINGER EAST,23326,662.83,3200,-9999
10/14/2024 00:25,MOSES SOUTH,23319,-643.57,3000,-1600
10/14/2024 00:25,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:25,SCH - HQ_CEDARS,325274,0,240,0
10/14/2024 00:25,SCH - HQ_IMPORT_EXPORT,325376,-778,1310,-9999
10/14/2024 00:25,SCH - NE - NY,23318,-572.06,500,-1000
10/14/2024 00:25,SCH - NPX_1385,325277,1,200,-200
10/14/2024 00:25,SCH - NPX_CSC,325154,0,0,0
10/14/2024 00:25,SCH - OH - NY,23317,1042.68,2000,-1600
10/14/2024 00:25,SCH - PJ - NY,23316,1407.48,2000,-1000
10/14/2024 00:25,SCH - PJM_HTP,325905,300,660,-660
10/14/2024 00:25,SCH - PJM_NEPTUNE,325305,660,660,-660
10/14/2024 00:25,SCH - PJM_VFT,325658,315,315,-315
10/14/2024 00:25,SPR/DUN-SOUTH,23320,1573.54,4350,-9999
10/14/2024 00:25,TOTAL EAST,23314,2233.21,7550,-9999
10/14/2024 00:25,UPNY CONED,23315,2368.25,5295,-9999
10/14/2024 00:25,WEST CENTRAL,23312,-182.03,9999,-9999
10/14/2024 00:30,CENTRAL EAST - VC,23330,975.6,2560,-9999
10/14/2024 00:30,DYSINGER EAST,23326,646.52,3200,-9999
10/14/2024 00:30,MOSES SOUTH,23319,-628.99,3000,-1600
10/14/2024 00:30,SCH - HQ - NY,23324,-750,1200,-750
10/14/2024 00:30,SCH - HQ_CEDARS,325274,0,240,0
