Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
01/07/2024 00:00,CENTRAL EAST - VC,23330,1783.85,2960,-9999
01/07/2024 00:00,DYSINGER EAST,23326,993.06,3200,-9999
01/07/2024 00:00,MOSES SOUTH,23319,-576.27,3000,-1600
01/07/2024 00:00,SCH - HQ - NY,23324,-782,1500,-800
01/07/2024 00:00,SCH - HQ_CEDARS,325274,0,279,-85
01/07/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,-797,1310,-9999
01/07/2024 00:00,SCH - NE - NY,23318,-1594.23,1400,-1800
01/07/2024 00:00,SCH - NPX_1385,325277,-67,200,-200
01/07/2024 00:00,SCH - NPX_CSC,325154,11,330,-330
01/07/2024 00:00,SCH - OH - NY,23317,1243.01,2050,-1900
01/07/2024 00:00,SCH - PJ - NY,23316,1825.95,2400,-2400
01/07/2024 00:00,SCH - PJM_HTP,325905,660,660,-660
01/07/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
01/07/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
01/07/2024 00:00,SPR/DUN-SOUTH,23320,988.86,4600,-9999
01/07/2024 00:00,TOTAL EAST,23314,3571.66,7550,-9999
01/07/2024 00:00,UPNY CONED,23315,2232.24,6385,-9999
01/07/2024 00:00,WEST CENTRAL,23312,574.96,9999,-9999
01/07/2024 00:05,CENTRAL EAST - VC,23330,1725.53,2960,-9999
01/07/2024 00:05,DYSINGER EAST,23326,880.94,3200,-9999
01/07/2024 00:05,MOSES SOUTH,23319,-544.83,3000,-1600
01/07/2024 00:05,SCH - HQ - NY,23324,-766,1500,-800
01/07/2024 00:05,SCH - HQ_CEDARS,325274,0,279,-85
01/07/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,-797,1310,-9999
01/07/2024 00:05,SCH - NE - NY,23318,-1592.48,1400,-1800
01/07/2024 00:05,SCH - NPX_1385,325277,-65,200,-200
01/07/2024 00:05,SCH - NPX_CSC,325154,23,330,-330
01/07/2024 00:05,SCH - OH - NY,23317,1088.14,2050,-1900
01/07/2024 00:05,SCH - PJ - NY,23316,1876.61,2400,-2400
01/07/2024 00:05,SCH - PJM_HTP,325905,660,660,-660
01/07/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
01/07/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
01/07/2024 00:05,SPR/DUN-SOUTH,23320,936.67,4600,-9999
01/07/2024 00:05,TOTAL EAST,23314,3514.74,7550,-9999
01/07/2024 00:05,UPNY CONED,23315,2171.45,6385,-9999
01/07/2024 00:05,WEST CENTRAL,23312,468.06,9999,-9999
01/07/2024 00:10,CENTRAL EAST - VC,23330,1761.07,2960,-9999
01/07/2024 00:10,DYSINGER EAST,23326,965.89,3200,-9999
01/07/2024 00:10,MOSES SOUTH,23319,-580.49,3000,-1600
01/07/2024 00:10,SCH - HQ - NY,23324,-766,1500,-800
01/07/2024 00:10,SCH - HQ_CEDARS,325274,0,279,-85
01/07/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,-797,1310,-9999
01/07/2024 00:10,SCH - NE - NY,23318,-1592.14,1400,-1800
01/07/2024 00:10,SCH - NPX_1385,325277,-65,200,-200
01/07/2024 00:10,SCH - NPX_CSC,325154,23,330,-330
01/07/2024 00:10,SCH - OH - NY,23317,1088.83,2050,-1900
