Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
01/14/2024 00:00,CENTRAL EAST - VC,23330,2815.79,3035,-9999
01/14/2024 00:00,DYSINGER EAST,23326,1427.46,3200,-9999
01/14/2024 00:00,MOSES SOUTH,23319,592,3000,-1600
01/14/2024 00:00,SCH - HQ - NY,23324,225,1500,-980
01/14/2024 00:00,SCH - HQ_CEDARS,325274,-85,279,-85
01/14/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,17,1310,-9999
01/14/2024 00:00,SCH - NE - NY,23318,-1563.07,600,-1800
01/14/2024 00:00,SCH - NPX_1385,325277,-15,200,-200
01/14/2024 00:00,SCH - NPX_CSC,325154,0,330,-330
01/14/2024 00:00,SCH - OH - NY,23317,1186.85,2050,-1900
01/14/2024 00:00,SCH - PJ - NY,23316,1053.62,2400,-2400
01/14/2024 00:00,SCH - PJM_HTP,325905,450,660,-660
01/14/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
01/14/2024 00:00,SCH - PJM_VFT,325658,295,315,-315
01/14/2024 00:00,SPR/DUN-SOUTH,23320,1432.64,4600,-9999
01/14/2024 00:00,TOTAL EAST,23314,5067.53,7550,-9999
01/14/2024 00:00,UPNY CONED,23315,2748.72,6385,-9999
01/14/2024 00:00,WEST CENTRAL,23312,973.81,9999,-9999
01/14/2024 00:05,CENTRAL EAST - VC,23330,2809.88,3035,-9999
01/14/2024 00:05,DYSINGER EAST,23326,1209.48,3200,-9999
01/14/2024 00:05,MOSES SOUTH,23319,821.43,3000,-1600
01/14/2024 00:05,SCH - HQ - NY,23324,434,1500,-980
01/14/2024 00:05,SCH - HQ_CEDARS,325274,-85,279,-85
01/14/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,167,1310,-9999
01/14/2024 00:05,SCH - NE - NY,23318,-1528.2,600,-1800
01/14/2024 00:05,SCH - NPX_1385,325277,75,200,-200
01/14/2024 00:05,SCH - NPX_CSC,325154,0,330,-330
01/14/2024 00:05,SCH - OH - NY,23317,1106.4,2050,-1900
01/14/2024 00:05,SCH - PJ - NY,23316,940,2400,-2400
01/14/2024 00:05,SCH - PJM_HTP,325905,350,660,-660
01/14/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
01/14/2024 00:05,SCH - PJM_VFT,325658,275,315,-315
01/14/2024 00:05,SPR/DUN-SOUTH,23320,1512.88,4600,-9999
01/14/2024 00:05,TOTAL EAST,23314,4989.3,7550,-9999
01/14/2024 00:05,UPNY CONED,23315,2731.01,6385,-9999
01/14/2024 00:05,WEST CENTRAL,23312,770.06,9999,-9999
01/14/2024 00:10,CENTRAL EAST - VC,23330,2833.97,3035,-9999
01/14/2024 00:10,DYSINGER EAST,23326,1245.29,3200,-9999
01/14/2024 00:10,MOSES SOUTH,23319,741.11,3000,-1600
01/14/2024 00:10,SCH - HQ - NY,23324,434,1500,-980
01/14/2024 00:10,SCH - HQ_CEDARS,325274,-85,279,-85
01/14/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,167,1310,-9999
01/14/2024 00:10,SCH - NE - NY,23318,-1528.3,600,-1800
01/14/2024 00:10,SCH - NPX_1385,325277,75,200,-200
01/14/2024 00:10,SCH - NPX_CSC,325154,0,330,-330
01/14/2024 00:10,SCH - OH - NY,23317,1106.68,2050,-1900
01/14/2024 00:10,SCH - PJ - NY,23316,938.01,2400,-2400
01/14/2024 00:10,SCH - PJM_HTP,325905,350,660,-660
01/14/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
01/14/2024 00:10,SCH - PJM_VFT,325658,275,315,-315
01/14/2024 00:10,SPR/DUN-SOUTH,23320,1552.45,4600,-9999
01/14/2024 00:10,TOTAL EAST,23314,4965.81,7550,-9999
01/14/2024 00:10,UPNY CONED,23315,2756.42,6385,-9999
01/14/2024 00:10,WEST CENTRAL,23312,794.85,9999,-9999
01/14/2024 00:15,CENTRAL EAST - VC,23330,2807.52,3035,-9999
01/14/2024 00:15,DYSINGER EAST,23326,1360.24,3200,-9999
01/14/2024 00:15,MOSES SOUTH,23319,621.8,3000,-1600
01/14/2024 00:15,SCH - HQ - NY,23324,434,1500,-980
01/14/2024 00:15,SCH - HQ_CEDARS,325274,-85,279,-85
01/14/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,167,1310,-9999
01/14/2024 00:15,SCH - NE - NY,23318,-1563.09,600,-1800
01/14/2024 00:15,SCH - NPX_1385,325277,75,200,-200
01/14/2024 00:15,SCH - NPX_CSC,325154,0,330,-330
01/14/2024 00:15,SCH - OH - NY,23317,1107.33,2050,-1900
01/14/2024 00:15,SCH - PJ - NY,23316,884.88,2400,-2400
01/14/2024 00:15,SCH - PJM_HTP,325905,350,660,-660
01/14/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
01/14/2024 00:15,SCH - PJM_VFT,325658,275,315,-315
01/14/2024 00:15,SPR/DUN-SOUTH,23320,1537.05,4600,-9999
01/14/2024 00:15,TOTAL EAST,23314,4891.38,7550,-9999
01/14/2024 00:15,UPNY CONED,23315,2729.63,6385,-9999
01/14/2024 00:15,WEST CENTRAL,23312,893.29,9999,-9999
01/14/2024 00:20,CENTRAL EAST - VC,23330,2888.47,3035,-9999
